Wahltermin,Titel,Vorname,Nachname,Jahrgang,Partei,Wahlkreis,Bundesland,Listenplatz
2009-09-27,,Johannes Martin Maria,Bortlisz-Dickhoff,1957,GRÜNE,92,,
2009-09-27,,Wolfgang,Bosbach,1952,CDU,101,NW,7
2009-09-27,,Hans-Joachim,Bosold,1952,NPD,175,,
2009-09-27,Dr.,Arnold Klaus Siegmund Georg,Bosse von,1947,GRÜNE,15,,
2009-09-27,,Karin,Bothe,1965,FDP,,RP,25
2009-09-27,,Martin,Bothe,1968,Tierschutzpartei,,NI,2
2009-09-27,,Reiner,Bousonville,1961,GRÜNE,180,,
2009-09-27,,Stefan Alois,Boxler,1964,GRÜNE,164,SN,6
2009-09-27,,nicole,Bracht-Bendt,1959,FDP,37,NI,6
2009-09-27,,Norbert,Brackmann,1954,CDU,10,SH,11
2009-09-27,,Klaus Peter,Brähmig,1957,CDU,159,SN,6
2009-09-27,,Rolf,Bräuer,1955,GRÜNE,46,,
2009-09-27,Dr.,Lutz,Bräutigam,1968,GRÜNE,242,,
2009-09-27,,Matthias Walter Heinrich,Brand,1961,FAMILIE,,BY,9
2009-09-27,,Michael,Brand,1973,CDU,175,HE,18
2009-09-27,,Sascha,Brandhoff,1982,PIRATEN,,HE,6
2009-09-27,,Bernd,Brandl,1972,BP,,BY,14
2009-09-27,Dr.,Reinhard,Brandl,1977,CSU,217,,
2009-09-27,,Klaus,Brandner,1949,SPD,132,NW,6
2009-09-27,,Achim,Brandt,1965,Volksabstimmung,,BW,4
2009-09-27,,Fridolin,Brandt,1945,DIE LINKE,216,,
2009-09-27,,Helmut,Brandt,1950,CDU,89,NW,29
2009-09-27,,Holger Ernst,Brandt,1989,,77,,
2009-09-27,,Gerald,Branghofer,1983,DVU,,NW,3
2009-09-27,,Max Erich,Branghofer,1945,DVU,,NW,1
2009-09-27,,Willi,Brase,1951,SPD,149,NW,5
2009-09-27,,Stephen,Brauer,1970,FDP,268,BW,18
2009-09-27,Dr.,Ralf,Brauksiepe,1967,CDU,140,NW,10
2009-09-27,Dr.,Bernhard,Braun,1958,GRÜNE,208,,
2009-09-27,Dr.,Helge Reinhold,Braun,1972,CDU,174,HE,10
2009-09-27,,Petra,Braun,1957,MLPD,126,,
2009-09-27,,Volker,Braun,1970,NPD,120,,
2009-09-27,,Manfred,Brauner,1960,DIE LINKE,39,NI,10
2009-09-27,,von Harald-Ingo,Bredow,1949,BP,,BY,47
2009-09-27,,Ulrich Johannes,Brehme,1966,ÖDP,,NI,2
2009-09-27,,Heike,Brehmer,1962,CDU,69,ST,6
2009-09-27,,Manfred Helmut,Breidbach,1968,NPD,107,NW,4
2009-09-27,,Rolf,Breidenbach,1955,FDP,80,BE,11
2009-09-27,,Klaus,Breil,1945,FDP,226,BY,13
2009-09-27,,Elke,Breitenbach,1961,DIE LINKE,,BE,9
2009-09-27,,Thomas Achim,Breitenfellner,1982,CSU,,BY,45
