WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Die Tierschutzpartei_S1,Die Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ödp_S1,ödp_S2,PIRATEN_S1,PIRATEN_S2,RRP_S1,RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,247 700,153 434,3 498,3 085,149 936,150 349,22 994,20 979,52 897,53 411,11 746,13 987,46 343,44 748,5 412,5 705,0,0,8 369,7 776,0,340,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 109,0,0,0,0,2 175
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,230 121,138 618,2 988,2 671,135 630,135 947,25 869,22 103,47 714,47 118,9 731,12 695,40 987,40 448,5 166,5 982,0,0,4 698,4 581,0,266,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,2 450,0,0,0,0,1 149
18,Hamburg-Mitte,249 150,164 566,2 660,2 033,161 906,162 533,56 125,45 904,43 306,38 459,12 700,18 915,21 173,22 111,26 261,26 984,0,0,2 341,1 817,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,659,0,6 142,0,0,1 171,0,0
19,Hamburg-Altona,178 340,133 657,1 552,1 358,132 105,132 299,47 298,33 225,39 303,34 197,10 655,17 246,13 206,16 340,18 888,25 459,0,0,780,802,0,0,0,0,0,0,0,0,158,88,151,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,709,563,0,3 513,0,0,762,0,957
20,Hamburg-Eimsbüttel,185 790,141 650,1 881,1 290,139 769,140 360,33 272,37 645,43 661,37 644,11 712,18 823,12 484,14 653,36 381,25 703,0,0,967,797,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,426,0,3 523,0,0,932,0,1 292
21,Hamburg-Nord,207 016,163 012,1 821,1 357,161 191,161 655,53 469,40 909,61 873,50 174,12 766,25 269,10 805,13 429,21 268,26 306,0,0,1 010,794,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,411,0,3 289,0,0,876,0,0
22,Hamburg-Wandsbek,217 147,150 049,2 126,1 686,147 923,148 363,51 460,42 705,53 958,44 770,11 408,20 181,14 021,16 205,13 914,17 518,0,0,1 972,1 674,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,1 190,527,0,3 158,0,0,1 314,0,0
23,Hamburg-Bergedorf – Harburg,219 191,143 119,2 355,1 991,140 764,141 128,54 965,42 554,46 303,41 423,10 727,16 709,14 430,16 358,11 728,16 484,0,0,2 111,1 795,0,0,0,0,0,0,0,0,0,63,500,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,402,0,3 543,0,0,1 517,0,0
24,Aurich – Emden,189 804,132 885,2 439,2 121,130 446,130 764,57 876,50 682,33 706,32 155,9 314,13 619,13 213,14 978,14 451,13 641,0,0,1 886,1 712,0,0,0,0,0,1 042,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,123,0,2 015,0,642,0,0,0
25,Unterems,231 076,164 653,2 392,2 136,162 261,162 517,47 481,44 913,73 405,63 545,15 470,20 731,12 062,14 219,11 981,12 222,0,0,1 862,1 707,0,0,0,0,0,1 149,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,304,0,2 899,0,648,0,0,0
