WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Tierschutzpartei_S1,Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ÖDP_S1,ÖDP_S2,PIRATEN_S1,PIRATEN_S2,Bündnis21/RRP_S1,Bündnis217RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
27,Oldenburg  Ammerland,215591,158347,1891,1490,156456,156857,49020,42551,55610,44090,13840,22917,14080,15244,21651,24171,,,1548,1345,,,,,,1349,,,,53,,,,,,,,,,,,,,,124,,,,,192,,4000,707,821,,,
28,Delmenhorst  Wesermarsch  Oldenburg-Land,226440,161584,1970,1821,159614,159763,55374,45895,56273,49810,16163,23109,13751,15906,14446,16731,,,2346,2009,,,,,,1519,,,,49,,,,,,,,,,,,,,,171,,,,,179,,2879,1261,1506,,,
29,Cuxhaven  Stade II,189058,135824,1902,1575,133922,134249,50481,40643,51654,46707,10426,17146,10307,11920,8379,11885,,,1828,1567,,,,,,1072,,,,28,,,,,,,,,,,,,,,225,,,,,173,,1938,,945,,,847
30,Stade I  Rotenburg II,192956,142114,1690,1424,140424,140690,46851,37784,62035,51303,9946,20056,9096,10541,9409,14253,,,2349,2061,,,,,,999,,,,43,307,,,,,,,,,,,,,,140,,,,,170,,2503,,837,,,431
31,Mittelems,226979,169078,1775,1550,167303,167528,43503,39085,91378,79052,13278,23749,8195,9169,9819,11357,,,1130,1014,,,,,,853,,,,24,,,,,,,,,,,,,,,78,,,,,158,,2347,,642,,,
32,Cloppenburg  Vechta,212449,148935,1708,1425,147227,147510,28053,24358,91686,80355,12700,23001,6927,7518,6575,7827,,,1286,1132,,,,,,766,,,,35,,,,,,,,,,,,,,,85,,,,,108,,1953,,372,,,
33,Diepholz  Nienburg I,193411,141838,1646,1315,140192,140523,48313,38955,52599,47565,15928,22067,9775,11701,11917,13999,,,1660,1442,,,,,,1059,,,,27,,,,,,,,,,,,,,,193,,,,,143,,2435,,937,,,
34,Osterholz  Verden,192320,144883,1642,1337,143241,143546,52397,41979,53080,45908,10787,17889,12242,13830,12318,17053,,,2417,1981,,,,,,1228,,,,24,,,,,,,,,,,,,,,187,,,,,152,,2339,,976,,,
35,Rotenburg I  Heidekreis,168573,121941,1702,1326,120239,120615,42395,33279,48344,42324,9895,16930,8366,9759,9101,12155,,,2138,1825,,,,,,1172,,,,22,,,,,,,,,,,,,,,167,,,,,133,,2252,,597,,,
36,Harburg,191159,148918,1976,1552,146942,147366,45002,36139,59657,50104,15812,24967,9611,10825,13772,18002,,,1935,1636,,,,,,1132,,,,33,,,,,,,,,,,,,,,177,,,,,238,,2963,1153,1150,,,
37,Lüchow-Dannenberg  Lüneburg,177098,131466,1695,1366,129771,130100,40411,32321,43229,37291,11242,16323,11935,13166,19645,23543,,,1860,1594,,,,,,1002,,,,32,,,,,,,,,,,,,,,135,,,,,194,,2795,1449,1704,,,
38,Osnabrück-Land,197143,144630,1706,1353,142924,143277,46028,37936,63175,55599,12940,21117,9006,10211,10393,13227,,,1382,1243,,,,,,854,,,,26,,,,,,,,,,,,,,,120,,,,,190,,2268,,486,,,
39,Stadt Osnabrück,192473,143711,1584,1370,142127,142341,46979,38000,54522,48398,14823,19941,9918,11878,14282,18463,,,945,848,,,,,,880,,,,18,,,,,,,,,,,,,,,88,,,,,216,,3168,,443,,,658
40,Nienburg II  Schaumburg,198376,143398,1706,1376,141692,142022,58649,46797,52714,45750,8712,17698,8797,10847,10217,13815,,,2036,1858,,,,,,1079,,,,42,,,,,,,,,,,,,,,147,,,,,183,,2454,,1352,,,567
41,Stadt Hannover I,180088,131369,1556,1381,129813,129988,50592,40497,42621,34448,9699,16680,10624,12111,13364,19019,,,1759,1681,,,,,,1081,,,176,88,,,,,,,,,,,,,,,118,,,,,190,,3102,978,973,,,
42,Stadt Hannover II,190623,140587,1655,1392,138932,139195,55068,41482,44534,33872,8657,16098,12886,14786,15797,24705,,,1573,1411,,,,,,1106,,,,137,,,,,,,,,,,,,,,122,,,,,221,,4368,,887,,,417
43,Hannover-Land I,232214,175757,2251,1764,173506,173993,67178,53236,66311,58219,14560,24492,11173,12601,11642,16993,,,2642,2288,,,,,,1362,,,,46,,,,,,,,,,,,,,,179,,,,,301,,3137,,1139,,,
44,Celle  Uelzen,217316,157137,1991,1701,155146,155436,50107,42402,68572,55393,11351,22295,10130,11765,10801,14770,,,2501,2291,,,,,,1130,,,,40,,,,,,,,,,,,,,,180,,,,,190,,2957,1684,2023,,,
45,Gifhorn  Peine,216957,161017,2012,1822,159005,159195,64365,52292,58827,53085,10073,17875,11663,13314,9476,14217,,,2029,1882,,,,,,1297,838,,,41,,,,,,,,,,,,,,,155,,,,,181,,3359,1346,1497,,,388
46,Hameln-Pyrmont  Holzminden,197394,143185,2203,1948,140982,141237,55842,47115,49787,41166,10401,19736,11820,12911,10849,13322,,,2283,1982,,,,,,1285,,,,53,,,,,,,,,,,,,,,146,,,,,130,,2571,,820,,,
47,Hannover-Land II,239450,183314,2258,2005,181056,181309,73215,59493,65573,57144,12982,22004,11976,13908,12533,18936,,,2853,2534,,,,,,1513,,,,53,,,,,,,,,,,,,,,181,,,,,248,,3528,1422,1767,,,502
48,Hildesheim,222804,167520,2201,1802,165319,165718,64555,54487,60376,52747,10231,18752,11402,13429,14856,17360,,,2606,2452,,,,,,1405,,,,52,,,,,,,,,,,,,,,152,,,,,171,,3191,1293,1520,,,
49,Salzgitter  Wolfenbüttel,213208,157578,2468,2167,155110,155411,69631,53144,50519,47719,9436,16479,12538,15569,9032,13744,,,2791,2490,,,,,,1334,,,,34,,,,,,,,,,,,,,,186,,,,,129,,2812,1163,1771,,,
50,Braunschweig,189975,139948,1736,1535,138212,138413,53572,39774,47584,40135,7507,15845,10801,13763,12012,19831,,,1310,1324,,,,,,1114,,,118,77,,,,,,,,,,,,,,,134,,,,,184,4214,4962,,1270,,,1094
51,Helmstedt  Wolfsburg,187831,135261,2196,1790,133065,133471,46064,42391,52427,45319,8480,14114,10216,11309,10692,11801,,,3023,2606,,,,,,1176,415,,,46,,,,,,,,,,,,,,,101,,,,,112,,2905,1748,1591,,,
52,Goslar  Northeim  Osterode,214330,156221,2638,2047,153583,154174,60107,50912,54451,46256,12719,21481,14083,14988,9624,12983,,,2599,2352,,,,,,1247,,,,27,,,,,,,,,,,,,,,131,,,,,144,,2787,,866,,,
53,Göttingen,224468,166515,2227,1908,164288,164607,60483,48788,56503,47343,10765,22086,12493,14635,21360,23708,,,2323,2072,,,,,,1176,,,,58,,,,,,,,,,,,,,,115,,,,,195,,3707,,724,,,361
54,Bremen I,256131,188189,2557,2099,185632,186090,62588,52387,53255,46284,13587,21021,21226,24883,31564,32556,,,2012,1567,,247,,,,,,458,343,133,,,,,,,,,,,,,,,373,,,,,,,4564,,1617,,,1057
55,Bremen II  Bremerhaven,231847,154838,2691,2317,152147,152521,58879,50032,39186,34680,10850,14947,21647,23486,16985,19727,,,2614,2045,,330,,,,,,397,,83,,,,,,,,,,,,,,,657,,,,,,,3610,1563,2527,,,423
56,Prignitz  Ostprignitz-Ruppin  Havelland I,171705,108017,3477,3020,104540,104997,33532,29446,22851,24913,8162,9068,32198,30550,4483,4587,,,3314,2494,,170,,,,,,,,84,,153,,,,,,,,,,,,,875,,,828,,,,1829,,,,,
57,Uckermark  Barnim I,168604,105423,3325,3006,102098,102417,27570,26654,26416,24429,6372,7883,32670,31720,4371,4748,,,3918,3123,,187,,,,,,,,105,,189,,,,,,,,,,,,,741,,,686,,,,1952,,,,,781
58,Oberhavel  Havelland II,249983,171514,4907,4179,166607,167335,48621,42959,46088,41575,12963,19163,40334,38980,12193,12974,,,5400,4153,,478,,,,,,,,181,,377,,,,,,,,,,,,,1305,,,1299,,,,3891,,,,,1008
59,Märkisch-Oderland  Barnim II,255845,174098,4674,4419,169424,169679,38545,36651,39959,36678,11139,15335,62644,57051,8195,10225,,,6096,4381,,423,,,,,,,,210,,327,,,,,,,,,,,,,2144,,,1731,,,,4523,,,,,2846
60,Brandenburg an der Havel  Potsdam-Mittelmark I  Havelland III  Teltow-Fläming I,199083,128273,3598,3708,124675,124565,40957,34451,30733,29834,7328,9992,35484,35643,4771,6047,,,3764,3013,,172,,,,,,,,151,,199,,,,,,,,,,,,,1163,,,807,,,,3093,,,,,1638
61,Potsdam  Potsdam-Mittelmark II  Teltow-Fläming II,239221,174226,4387,3560,169839,170666,48720,44450,40708,36600,12356,17986,48515,43354,16479,18279,,,3061,2129,,269,,,,,,,,202,,345,,,,,,,,,,,,,939,,,942,,,,5171,,,,,
62,Dahme-Spreewald  Teltow-Fläming III  Oberspreewald-Lausitz I,246651,170204,5598,4739,164606,165465,53384,42834,40882,39092,11959,16102,43348,44923,9041,9912,,,5992,4711,,368,,,,,,,,162,,397,,,,,,,,,,,,,1255,,,1352,,,,4357,,,,,
63,Frankfurt (Oder)  Oder-Spree,208525,139228,4461,3597,134767,135631,38470,32750,30153,30506,10125,12018,43589,42581,7502,7464,,,4928,3788,,395,,,,,,,,210,,374,,,,,,,,,,,,,1052,,,1108,,,,3385,,,,,
64,Cottbus  Spree-Neiße,196389,128179,4218,3530,123961,124649,34529,29999,29829,30360,10878,11230,37224,36561,5650,6093,,,4806,3765,,344,,,,,,,,179,,258,,,,,,,,,,,,,1169,,,1055,,,,3636,,,,,1045
65,Elbe-Elster  Oberspreewald-Lausitz II,192709,126140,4692,3992,121448,122148,32688,28022,35073,33467,8487,10865,34324,34203,3861,4238,,,5513,3839,,278,,,,,,,,137,,270,,,,,,,,,,,,,2399,,,1435,,,,2995,,,,915,587
66,Altmark,182677,112980,2552,2742,110428,110238,22070,19516,34501,33330,6558,9725,36910,37034,3725,5212,,,2461,2318,,,,,,,,,,232,,,,,,,,,,,,,,,449,,,,,,,2422,,,,,4203
67,Börde  Jerichower Land,239481,146265,3411,3224,142854,143041,31994,25606,46686,45060,13914,15368,41040,43781,5041,6081,,,3446,3033,,,,,,,,,,331,,,,,,,,,,,,,,,461,,,,,,,3320,,,,,733
68,Harz,237308,144565,3140,2705,141425,141860,28783,24355,46720,44482,10250,13296,44002,45736,7796,7148,,,3871,3285,,,,,,,,,2,310,,,,,,,,,,,,,,,346,,,,,,,2902,,,,,1
69,Magdeburg,249356,150236,2871,2531,147365,147705,32420,27817,45389,41192,9686,13503,47303,47538,8572,10199,,,2539,2205,,,,,,,,,612,402,,,,,,,,,,,,,,,288,,,,,,,4561,,,,,844
70,Dessau  Wittenberg,197289,122932,2348,2120,120584,120812,22187,19739,43424,38247,8810,12614,36809,37709,5004,6131,,,2928,2627,,,,,,,,,544,317,,,,,,,,,,,,,,,428,,,,,,,3000,,,,,878
71,Anhalt,253026,145615,3498,3330,142117,142285,30774,23590,44726,43574,11119,15040,44803,47363,4938,5296,,,3719,3377,,,,,,,,,900,490,,,,,,,,,,,,,,,450,,,,,,,3105,,,,,1138
72,Halle,223268,139785,2462,2185,137323,137600,22341,21684,42430,37004,11760,15974,46272,43617,11056,11950,,,2483,2234,,,,,,,,,981,511,,,,,,,,,,,,,,,320,,,,,,,4306,,,,,
73,Burgenland  Saalekreis,214081,127503,2535,2474,124968,125029,23592,19513,41281,39777,11224,14153,39610,39876,3950,4740,,,4399,3792,,,,,,,,,,257,,,,,,,,,,,,,,,380,,,,,,,2541,,,,,912
74,Mansfeld,232086,136840,3127,2738,133713,134102,23028,21030,43014,39645,10818,14574,47051,46802,5465,4977,,,4337,3713,,,,,,,,,,331,,,,,,,,,,,,,,,407,,,,,,,2623,,,,,
75,Berlin-Mitte,197252,133355,2749,2340,130606,131015,33943,27780,28760,24854,8869,13590,24871,25216,28108,28880,,,2110,1530,,519,,,,1576,,,,107,951,329,,,116,,,,,,,,,167,129,,527,,,245,,5450,,,,,2994
76,Berlin-Pankow,232250,166099,2836,2350,163263,163749,44769,29850,28374,28163,9604,13626,47070,45099,26674,32401,,,3702,3007,,486,,,,2225,,,,104,1090,457,,,178,,,,,,,,,235,241,,559,,,351,,6767,,,,,1980
77,Berlin-Reinickendorf,183112,132532,3039,2666,129493,129866,35540,27842,50554,42771,13711,20580,10525,12060,13875,17577,,,2613,2074,,772,,,,1946,,,,30,879,372,,,76,,,,,,,,,36,165,,340,,,246,,2979,,,,,1796
78,Berlin-Spandau  Charlottenburg Nord,184436,126799,3098,2821,123701,123978,41051,29109,44994,37170,10612,18277,11446,13611,10853,16451,,,2463,1982,,618,,,,2019,,,285,96,1245,560,,,87,,,,,,,,,44,184,,371,,,226,,3173,,,,,752
79,Berlin-Steglitz-Zehlendorf,217335,172795,2610,2188,170185,170607,45691,34488,66075,53085,15138,28876,9325,12270,27392,33004,,,1544,1309,,472,1416,,,1860,,,,34,462,283,,,79,,,,,,,,,36,137,875,623,,,312,,3739,,,,,2267
80,Berlin-Charlottenburg-Wilmersdorf,195857,150356,2623,1971,147733,148385,47340,31719,44549,39331,16397,24313,9978,12868,26778,32724,,,1187,893,,262,,,,1518,,,,34,912,265,,,53,,,,,,,,,45,88,,465,,,243,,3564,,,,,592
81,Berlin-Tempelhof-Schöneberg,232759,172928,3533,3001,169395,169927,38244,36351,54971,45372,13292,23407,13787,16995,44506,36630,,,2413,1891,,545,,,,2270,,,,72,1328,463,,,86,,,,,,,,,101,192,,598,,,335,,4619,,,,,854
82,Berlin-Neukölln,197444,132613,3915,3357,128698,129256,35168,27639,39618,33469,11468,16486,15852,17986,18805,22698,,,3356,2554,,611,,,,2066,,,218,108,,209,,,128,,,,,,,,280,150,158,,394,,,261,,4339,,,,,3933
83,Berlin-Friedrichshain-Kreuzberg  Prenzlauer Berg Ost,222647,160861,2572,2419,158289,158442,26415,32015,18394,18788,6425,9693,27796,39641,73897,43347,,,1791,1436,,284,,,,1793,,,,130,,166,,,171,,,,,,,,649,354,118,,727,,,306,,9473,,,,,2922
84,Berlin-Treptow-Köpenick,200391,142838,2326,2083,140512,140755,25520,27765,29124,25955,6247,11261,62880,47438,10495,15486,,,4092,3688,,443,,,,2106,,,398,168,1131,513,,,132,,,,,,,,,205,234,,367,,,281,,4713,,,,,625
85,Berlin-Marzahn-Hellersdorf,203416,128897,2496,2224,126401,126673,20336,20906,24563,22875,6969,9741,60236,51662,7242,8847,,,4725,3832,,456,,,,2189,,,,127,1564,579,,,156,,,,,,,,,235,356,,249,,,189,,4274,,,,,766
86,Berlin-Lichtenberg,204766,132766,2283,2014,130483,130752,24028,22618,22566,21347,5048,8666,61874,53815,9652,11490,,,4492,3603,,453,,,,1960,,,,101,1384,513,,,158,,,,,,,,,286,273,,272,,,225,,4972,,,,,1439
87,Aachen I,176885,130211,1582,1194,128629,129017,38523,28937,50703,41146,11554,19464,9520,10911,17241,20765,,,1088,789,,221,,385,,672,,,,34,,32,,,9,,87,,62,,,,,,54,,,,,149,,4837,,149,314,,
88,Aachen II,228546,160816,2766,2296,158050,158520,54205,45981,63511,53062,13275,23518,13502,14926,11056,12491,,,2501,1767,,820,,792,,1107,,,,19,,29,,,18,,125,,70,,,,,,114,,,,,81,,2764,,239,597,,
89,Heinsberg,187605,131761,2409,1923,129352,129838,31111,27877,65143,53888,12342,21315,9859,10638,8933,9307,,,1964,1532,,413,,784,,1047,,,,17,,24,,,20,,145,,69,,,,,,73,,,,,94,,1976,,199,420,,
90,Düren,199907,144058,2447,1979,141611,142079,43655,36209,65662,53597,10745,21383,10079,11924,8956,11102,,,2514,2066,,259,,891,,1100,,,,20,,28,,,19,,201,,72,,,,,,74,,,,,62,,2273,,207,592,,
91,Rhein-Erft-Kreis I,245417,180037,2597,2259,177440,177778,63487,49072,69845,60798,18620,29495,11215,13214,11195,16136,,,2620,1952,,500,,793,,1333,,,,33,,42,,,29,,236,,80,,,,,,98,,,,,151,,2688,,195,933,,458
92,Euskirchen  Rhein-Erft-Kreis II,245382,176069,3421,2576,172648,173493,50035,40709,75290,63653,20620,32011,11679,13139,12239,15126,,,2321,1810,,420,,931,,1276,,,,43,,40,,,24,,209,,103,,,,,,146,,,,,160,,2523,,326,844,,464
93,Köln I,186798,127011,1718,1178,125293,125833,43837,33774,42094,34195,10902,18981,10614,12092,15557,20019,,,1971,1398,,368,,433,,816,,,,70,,25,,,20,,179,,74,,,,,,53,,,,,146,,2522,,214,454,,318
94,Köln II,224430,172562,1350,1006,171212,171556,55471,37665,59710,48545,18455,32663,9550,12138,26614,34040,,,1131,809,,227,,337,,755,,,281,41,,27,,,28,,129,,67,,,,,,48,,,,,252,,3237,,207,341,,
95,Köln III,197023,134252,1619,1296,132633,132956,47625,37019,38093,33367,11187,17225,11390,13540,22550,24797,,,1788,1231,,367,,473,,847,,,,53,,38,,,26,,153,,58,,,,,,57,,,,,201,,2791,,257,456,,
96,Bonn,219218,167574,1898,1655,165676,165919,55251,37387,51674,51654,31606,31483,8381,11624,16856,26573,,,1211,1049,,244,,443,,786,,,,40,251,87,,,26,,137,,87,,,,,,52,446,,,,208,,3685,,74,280,,
97,Rhein-Sieg-Kreis I,231404,167034,2203,1856,164831,165178,42568,37986,73959,58516,18727,31488,10523,11650,15389,17359,,,1765,1462,,271,,678,,1113,,,,19,,21,,,15,1581,741,,100,,,,,,93,,,,,153,,2887,,194,432,,319
98,Rhein-Sieg-Kreis II,211859,161746,1994,1715,159752,160031,39489,33235,80363,59487,16012,34858,7430,8800,14046,16898,,,1443,1188,,224,,605,,974,,,,27,,15,,,15,969,452,,96,,,,,,69,,,,,149,,2445,,163,331,,
99,Oberbergischer Kreis,211963,150609,2389,2173,148220,148436,41165,35604,71759,56807,12990,25007,9599,11070,10066,12826,,,1734,1317,,380,,905,,977,,,,16,,36,,,22,,193,,79,,,,,,119,,,,458,264,,2035,,228,551,,449
100,Rheinisch-Bergischer Kreis,215582,166669,1598,1541,165071,165128,43992,38415,82523,58572,14198,31480,8561,10832,13745,18582,,,1643,1227,,353,,725,,1111,,,,30,,47,,,18,,197,,87,,,,,,94,,,,,177,,2346,,292,543,,409
101,Leverkusen  Köln IV,213303,146460,2044,1605,144416,144855,53517,40982,51242,43188,11332,20670,11723,13715,13386,18064,,,2364,1815,,448,,712,,1039,,,323,180,,42,,,29,,153,,76,,,,,,92,,,,,160,,2578,,292,620,,529
102,Wuppertal I,216614,145089,2101,1915,142988,143174,51180,39244,49021,40972,11852,19458,15003,16743,13308,18285,,,2337,1537,,1098,,629,,1009,,,287,114,,25,,,27,,169,,56,,,,,,78,,,,,128,,2880,,189,533,,
103,Solingen  Remscheid  Wuppertal II,229927,162192,2157,1794,160035,160398,54910,42869,62365,51248,13940,26079,13418,15057,12956,16357,,,2446,1668,,664,,819,,1103,,,,91,,44,,,26,,193,,102,,,,,,139,,,,,157,,2891,,223,668,,
104,Mettmann I,204450,150715,1709,1613,149006,149102,50319,36767,66300,52053,11674,27081,8412,10411,10611,15404,,,1690,1218,,628,,785,,960,,,,32,,48,,,21,,164,,84,,,,,,69,,,,,123,,2401,,257,596,,
105,Mettmann II,168402,122690,1541,1261,121149,121429,43173,32740,48276,40999,11332,20574,8418,9839,8447,11350,,,1503,1061,,467,,596,,756,,,,28,,28,,,20,,122,,94,,,,,,84,,,,,95,,1955,,199,422,,
106,Düsseldorf I,218215,159600,1586,1214,158014,158386,45125,35625,68749,52747,16472,31626,10266,11962,15894,19967,,,1304,804,,734,,405,,876,,,204,71,,38,,,28,,114,,90,,,,,,47,,,,,104,,2554,,155,439,,
107,Düsseldorf II,195910,134823,1690,1328,133133,133495,44295,34873,50233,40906,10758,20625,12948,13244,13137,16897,,,1560,900,,1002,,511,,841,,,202,64,,28,,,23,,119,,89,,,,,,63,,,,,108,,2499,,208,495,,
108,Neuss I,213950,149942,1966,1695,147976,148247,43614,36812,70787,55419,12763,25944,8709,9755,9935,12133,,,2168,1543,,530,,813,,989,,,,30,,22,,,22,,133,,509,,,,,,85,,,,,107,,2556,,242,603,,
109,Mönchengladbach,194294,124190,1774,1444,122416,122746,33852,30018,55784,43020,11573,22148,9233,10241,10162,10876,,,1569,1231,,301,,526,,906,,,,31,,20,,,19,,104,,259,,,,,,49,,,,,84,,2191,,196,526,,243
110,Krefeld I  Neuss II,204291,149731,1695,1473,148036,148258,43087,35551,62639,53252,18168,28625,8641,10016,12043,13867,,,1358,1012,,345,2100,1028,,926,,,,44,,32,,,20,,121,,285,,,,,,60,,,,,90,,2267,,195,522,,
111,Viersen,227805,164366,1990,1658,162376,162708,41691,36743,79359,61723,15755,30071,11102,11935,12633,14433,,,1836,1428,,302,,840,,1269,,,,22,,22,,,25,,133,,106,,,,,,78,,,,,130,,2554,,171,723,,
112,Kleve,226029,158453,2128,1714,156325,156739,46290,36810,76480,66161,14620,25249,8787,9566,10148,12355,,,,1045,,299,,819,,974,,,,25,,29,,,15,,115,,90,,,,,,95,,,,,138,,2277,,166,511,,
113,Wesel I,207451,151261,1740,1553,149521,149708,57225,48139,57576,49564,10624,19441,11071,12676,9873,12853,,,1569,1323,,395,1583,923,,969,,,,30,,28,,,15,,97,,86,,,,,,87,,,,,114,,2335,,187,446,,
114,Krefeld II  Wesel II,182878,129601,1681,1412,127920,128189,50636,40990,44906,38812,11098,18168,10123,11438,9462,12727,,,1425,1091,,308,,535,,841,,,270,108,,21,,,20,,102,,72,,,,,,76,,,,,76,,2078,,187,539,,
115,Duisburg I,174332,119956,1747,1546,118209,118410,50231,43400,37146,31256,6956,11768,12481,13717,8933,11123,,,2102,1470,,573,,631,,971,,,,151,,34,,,29,,113,,127,,,,,,103,,,,,100,,2123,,205,516,,360
116,Duisburg II,171011,103924,1799,1555,102125,102369,47568,40861,27634,24190,5734,8813,11275,13901,6288,7577,,,3042,2019,,540,,533,,885,,,275,178,,34,,,31,,87,,181,,,,,,121,,,,,58,,1685,,187,488,,309
117,Oberhausen  Wesel III,212283,148108,1982,1803,146126,146305,65189,57689,40001,35712,9231,15049,14008,16311,14772,13352,,,2643,2011,,480,,740,,1109,,,282,118,,43,,,35,,119,,93,,,,,,135,,,,,106,,2325,,211,667,,
118,Mülheim  Essen I,194638,140658,1722,1407,138936,139251,57547,49498,44653,37762,11852,18416,12143,13226,10801,13253,,,1940,1458,,538,,698,,1018,,,,139,,60,,,32,,108,,66,,,,,,83,,,,,97,,2054,,227,518,,
119,Essen II,171457,107997,1581,1308,106416,106689,49023,41637,28968,25067,6967,10947,11065,12431,7352,9495,,,2218,1619,,979,,565,,874,,,240,141,583,154,,,31,,118,,74,,,,,,62,,,,,65,,1852,,171,407,,
120,Essen III,197729,149281,1591,1198,147690,148083,57055,45888,53269,44455,11035,20829,10240,12239,13969,17807,,,1614,1227,,598,,525,,915,,,,91,508,148,,,39,,142,,78,,,,,,75,,,,,109,,2341,,173,404,,
121,Recklinghausen I,174767,124037,1847,1379,122190,122658,52627,43571,37504,34732,9090,13462,12781,14202,7846,9984,,,2078,1470,,410,,599,,852,,,,80,,30,,,17,,102,,56,,,,,,182,,,,,82,,2162,,202,463,,264
122,Recklinghausen II,194999,140361,1810,1428,138551,138933,58984,51110,44021,40418,10678,15219,13805,14614,8603,10299,,,2269,1554,,483,,694,,1010,,,191,96,,28,,,29,,134,,64,,,,,,135,,,,,83,,2285,,211,467,,
123,Gelsenkirchen,187486,121673,2652,1472,119021,120201,64623,50435,31011,27930,8344,10846,,14497,9013,8327,,,4199,2018,,1094,,573,,818,,,1831,454,,33,,,21,,112,,67,,,,,,108,,,,,52,,2148,,158,510,,
124,Steinfurt I  Borken I,200304,143677,1979,1411,141698,142266,42736,34893,63123,59231,17533,22277,8306,9197,8774,10999,,,1226,993,,201,,647,,568,,,,16,,20,,,20,,67,,128,,,,,,62,,,,,113,,2249,,227,358,,
125,Bottrop  Recklinghausen III,208655,148523,1804,1596,146719,146927,62810,54532,48290,42153,9710,16171,13765,15624,8372,10267,,,2391,1738,,643,,804,,1052,,,243,128,,34,,,23,,102,,74,,,,,,114,,,,1138,447,,2261,,182,578,,
126,Borken II,196659,147728,1494,1231,146234,146497,37324,32344,79254,67056,12521,24230,6385,7222,9706,10793,,,1044,805,,188,,625,,599,,,,17,,12,,,13,,73,,103,,,,,,56,,,,,94,,1823,,100,344,,
127,Coesfeld  Steinfurt II,189353,146369,1372,1100,144997,145269,37851,31790,73636,61901,14229,24041,7634,8504,10674,13607,,,973,752,,213,,703,,705,,,,13,,16,,,20,,80,,93,,,,,,67,,,,,163,,2008,,169,424,,
128,Steinfurt III,192966,143782,1842,1371,141940,142411,58679,43523,61444,51067,11613,20001,9075,9250,,13366,,,1129,929,,204,,686,,555,,,,14,,24,,,15,,56,,63,,,,,,71,,,,,85,,2047,,169,286,,
129,Münster,210934,163921,1362,1190,162559,162731,53029,38604,63819,54902,16131,23951,7805,10970,20822,27985,,,718,574,,175,,416,,567,,,,39,,17,,,19,,89,,78,,,,,,38,,,,,417,,3489,,107,294,,235
130,Warendorf,211287,156217,2696,1809,153521,154408,49996,37608,75187,62706,16333,23668,12005,9824,,14609,,,,977,,302,,685,,688,,,,8,,14,,,16,,112,,107,,,,,,82,,,,,119,,2308,,132,443,,
131,Gütersloh I,232944,168245,2536,1925,165709,166320,53509,42512,74149,64808,15138,24698,9909,10855,11924,16035,,,,1202,,361,,824,,855,,,,25,,24,,,24,,152,,86,,,,,,118,,,,625,379,,2639,,177,546,,455
132,Bielefeld  Gütersloh II,247085,180441,2348,2091,178093,178350,61405,53583,64621,54277,10852,19883,14056,17126,24981,25057,,,1784,1453,,311,,755,,956,,,,68,394,100,,,45,,132,,67,,,,,,120,,,,,179,,3497,,190,551,,
133,Herford  Minden-Lübbecke II,233781,165115,2497,2079,162618,163036,62644,53661,61244,53025,15549,22018,12090,12887,11091,14121,,,,1362,,603,,856,,942,,,,31,,26,,,23,,189,,56,,,,,,90,,,,,137,,2373,,215,421,,
134,Minden-Lübbecke I,209155,147381,1996,1756,145385,145625,57561,47299,61751,51869,9628,18097,8809,10401,7636,11482,,,,917,,771,,820,,713,,,,21,,22,,,29,,98,,56,,,,,,83,,,,,113,,2284,,153,397,,
135,Lippe I,174517,127817,1880,1522,125937,126295,50688,43628,46447,40545,11879,16627,8492,9059,8431,10270,,,,1039,,358,,779,,728,,,,23,,36,,,10,,95,,66,,,,,,94,,,,,119,,2283,,139,397,,
136,Höxter  Lippe II,216917,158321,2673,2368,155648,155953,49149,45184,71813,58814,12086,23125,9100,10266,9957,11708,,,1502,1151,,254,1586,1037,,727,,,,21,,21,,,31,,125,,91,,,,,,109,,,,455,309,,2474,,132,374,,
137,Paderborn  Gütersloh III,243442,172558,2208,2107,170350,170451,43120,34925,88754,73354,15282,28805,9436,10380,12001,14619,,,1757,1340,,377,,1111,,810,,,,24,,26,,,28,,149,,113,,,,,,116,,,,,184,,3478,,145,467,,
138,Hagen  Ennepe-Ruhr-Kreis I,217768,150712,1885,1650,148827,149062,63980,49061,49893,45225,11251,18246,12188,14448,8836,13557,,,2679,1774,,937,,673,,1231,,,,87,,36,,,12,,137,,72,,,,,,96,,,,,79,,2407,,278,706,,
