Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer
;"Uwe";"Bartholomäus";"DVU";1972;110
;"Anna";"Bartholomé";"MLPD";1949;111
;"Sören";"Bartol";"SPD";1974;112
"Dr.";"Dietmar";"Bartsch";"DIE LINKE";1958;113
;"Bärbel";"Bas";"SPD";1968;114
;"Lothar";"Baseler";"NPD";1935;115
;"Michael";"Bathon";"CDU";1961;116
;"Annegret";"Bauch";"CDU";1958;117
;"Matthias";"Bauch";"BP";1979;118
;"Anneliese";"Bauer";"Volksabstimmung";1924;119
;"Emil";"Bauer";"MLPD";1953;120
;"Erich";"Bauer";"FDP";1954;121
;"Sebastian-Michael";"Bauer";"PIRATEN";1987;122
;"Andreas";"Baum";"PIRATEN";1978;123
;"Erika";"Baum";"DKP";1925;124
;"Helmut Günter";"Baumann";"CDU";1947;125
"Dr.";"Albert";"Baumgärtner";"NPD";1955;126
;"Alfons";"Baumgartner";"BP";1944;127
;"Roman";"Baumgartner";"CDU";1982;128
;"Jens";"Baur";"NPD";1979;129
;"Yusuf";"Bayrak";;1963;130
"Dr.";"Arthur";"Bechert";"CSU";1964;131
;"Birgit";"Beciri";"Die Tierschutzpartei";1962;132
;"Ernst-Reinhard";"Beck";"CDU";1945;133
;"Jürgen";"Beck";;1955;134
;"Marieluise";"Beck";"GRÜNE";1952;135
;"Stefanie";"Beck";"DIE LINKE";1970;136
;"Tobias";"Beck";"FDP";1985;137
;"Volker";"Beck";"GRÜNE";1960;138
;"Claudia";"Beck geb. Krauß";"GRÜNE";1973;139
;"Alexander";"Becker";"CDU";1982;140
;"Bernd";"Becker";"SPD";1958;141
;"Burkhard";"Becker";"NPD";1954;142
;"Dirk";"Becker";"SPD";1966;143
;"Kurt";"Becker";"SPD";1953;144
;"Christa Lydia";"Becker-Lettow";"SPD";1959;145
;"Bert";"Beckmann";"MLPD";1958;146
;"Uwe Karl";"Beckmeyer";"SPD";1949;147
;"Jochen Heiner";"Beekhuis";"SPD";1977;148
;"Maximilian";"Beer";"CSU";1966;149
;"Kirsten";"Beetz";"CDU";1961;150
;"Peter";"Befeldt";"SPD";1955;151
;"Jörg";"Behlen";"FDP";1968;152
;"Cornelia";"Behm";"GRÜNE";1951;153
;"Martin";"Behnke";"DIE LINKE";1954;154
;"Hans-Peter";"Behrens";"GRÜNE";1961;155
;"Heidemarie Elisabeth";"Behrens";"DIE LINKE";1954;156
;"Herbert";"Behrens";"DIE LINKE";1954;157
;"Manfred";"Behrens";"CDU";1956;158
;"Matthias";"Behrens";"NPD";1972;159
;"Andreas";"Beier";;1971;160
"Dr.";"Guido";"Beier";"FDP";1967;161
;"Klaus";"Beier";"NPD";1966;162
;"Mirko";"Beier";"NPD";1975;163
;"Veronika Maria";"Bellmann";"CDU";1960;164
;"Michael";"Belzner";"REP";1948;165
;"Birgitt";"Bender";"GRÜNE";1956;166
;"Mario";"Bender";"DIE LINKE";1966;167
;"Anneliese";"Bendigkeit";"CDU";1943;168
;"Edgar";"Benedetto Di";"DIE LINKE";1958;169
;"Klaus Uwe";"Benneter";"SPD";1947;170
;"Felix";"Bensmann";"FDP";1985;171
;"Konrad";"Bentz";"NPD";1920;172
;"Josef";"Benz";"FDP";1953;173
;"Karl Hans August";"Benz";"RRP";1938;174
;"Markus";"Benz";"DIE VIOLETTEN";1955;175
;"Patrick";"Berberich";"CDU";1979;176
;"Miro";"Berbig";"DIE LINKE";1964;177
"Dr.";"Axel";"Berg";"SPD";1959;178
;"Ute";"Berg";"SPD";1953;179
;"Lars";"Bergen";"CSU";1975;180
;"Cornelia";"Berger";"NPD";1956;181
;"Frank";"Berger";"FDP";1976;182
;"Milan";"Berger";"PIRATEN";1978;183
"Dr. Dr.";"Wolfgang Georg Justus";"Berger";;1941;184
;"Volker";"Bergler";"BP";1968;185
;"Jutta";"Bergmoser";"GRÜNE";1961;186
"Dr.";"Christoph";"Bergner";"CDU";1948;187
;"Christian";"Berisha";"NPD";1967;188
;"Jutta";"Berlinghof";"GRÜNE";1961;189
;"Christopher";"Bernd";"PBC";1986;190
;"Wolfgang Herbert Josef";"Berndt";"DIE LINKE";1949;191
;"Marc";"Bernhard";"CDU";1972;192
;"Martin";"Bernmeiser";"DIE VIOLETTEN";1952;193
;"Wolfgang";"Berns";"FDP";1948;194
;"Florian";"Bernschneider";"FDP";1986;195
;"Jürgen Heinrich";"Bernsen";;1963;196
;"Patrick";"Bernstein";"NPD";1973;197
;"Ute";"Bertram";"CDU";1961;198
;"Karl-Heinz";"Besemann";"DVU";1950;199
;"Harald";"Bestehorn";"NPD";1962;200
;"Markus";"Bestgen";"FDP";1964;201
;"Horst";"Bethge";"DIE LINKE";1935;202
;"Cornelia";"Bethke";"SPD";1966;203
;"Lorenz Gösta";"Beutin";"DIE LINKE";1978;204
;"Christian";"Beyer";"SPD";1974;205
;"Lars";"Beyer";"NPD";1969;206
;"Peter";"Beyer";"CDU";1970;207
;"Stephan";"Beyer";;1985;208
;"Bettina";"Bieder";"NPD";1980;209
;"Christian";"Bieler";"NPD";1985;210
;"KLaus";"Biener";"GRÜNE";1959;211
;"Xenia";"Biereichelt";"BüSo";1989;212
;"Arnhild";"Biesenbach";"CDU";1955;213
;"Hans-Dieter";"Biester";"RENTNER";1945;214
;"Michael";"Bihler";"CSU";1979;215
;"Steffen";"Bilger";"CDU";1979;216
;"Rainer";"Biller";"NPD";1965;217
;"Karin";"Binder";"DIE LINKE";1957;218
;"Martin";"Binder";"CDU";1980;219
;"Sascha";"Binder";"SPD";1983;220
;"Lothar";"Binding";"SPD";1950;221
;"Peter";"Bing";"RENTNER";1951;222
;"Clemens";"Binninger";"CDU";1962;223
;"Katharina";"Birk";"DIE LINKE";1967;224
;"Matthias W.";"Birkwald";"DIE LINKE";1961;225
;"Florian";"Bischof";"PIRATEN";1977;226
;"Joachim";"Bischoff";"DIE LINKE";1944;227
;"Peter";"Bitsch";"REP";1950;228
"Dr.";"Günther Wolfgang";"Bittel";"MLPD";1953;229
;"Thomas";"Bläsche";"FDP";1978;230
;"Robert";"Bläsing";"FDP";1982;231
;"Kurt Jürgen";"Blank";"NPD";1970;232
;"Bernhard";"Blankenheim";"NPD";1951;233
;"Bernd";"Blech";"REP";1961;234
;"Thomas";"Blechschmidt";;1965;235
"Dr.";"Wolfgang";"Blender";"FDP";1955;236
;"Peter";"Bleser";"CDU";1952;237
;"Stephan";"Bliemel";"SPD";1978;238
"Prof. Dr.";"Frank";"Bliss";"GRÜNE";1956;239
;"Detlev";"Blitz";"SPD";1958;240
;"Günter";"Blocks";"DIE LINKE";1958;241
"Dr.";"Helmut";"Blöcker";"GRÜNE";1945;242
;"Marion Else";"Blohm";"DVU";1953;243
;"Frank";"Blome";"NPD";1973;244
;"Barbara";"Blotenberg";"GRÜNE";1960;245
;"Heidrun";"Bluhm";"DIE LINKE";1958;246
;"Claudia";"Blum";"SPD";1968;247
;"Klaus";"Blume";"RRP";1944;248
;"Sebastian";"Blumenthal";"FDP";1974;249
;"Volker";"Blumentritt";"SPD";1946;250
;"Jürgen";"Blumer";"MLPD";1958;251
;"Steffen";"Bockhahn";"DIE LINKE";1978;252
;"Claudia";"Bögel";"FDP";1961;253
;"Melanie";"Böger";"DIE LINKE";1971;254
;"Werner";"Böhler";"SPD";1964;255
"Dr.";"Dorothea";"Böhm";"FAMILIE";1962;256
;"Walter";"Böhm";"NPD";1959;257
"Prof. Dr.";"Maria";"Böhmer";"CDU";1950;258
;"Helmut";"Böhmler";"MLPD";1952;259
;"Georg";"Böhner";"DIE LINKE";1957;260
;"Björn Lars";"Böhning";"SPD";1978;261
;"Manfred";"Börm";"NPD";1950;262
;"Wolfgang";"Börnsen";"CDU";1942;263
;"Peter";"Börs";"NPD";1944;264
;"Ralph";"Boes";;1957;265
;"Jorg";"Böttcher";;1958;266
;"Süntje";"Böttcher";"PIRATEN";1981;267
;"Viktor";"Böttcher";"SPD";1952;268
"Dr.";"Martin";"Böttger";"GRÜNE";1947;269
;"Karl-Heinz";"Bok";"ödp";1951;270
;"Gerd";"Bollmann";"SPD";1947;271
;"Alexander";"Bonde";"GRÜNE";1975;272
;"Keno";"Borde";"SPD";1982;273
;"Klaus-Peter";"Borgwardt";"MLPD";1953;274
;"Sonja Angela";"Borgwardt";"MLPD";1951;275
;"Helmut";"Born";"DIE LINKE";1952;276
;"Markus";"Born";"NPD";1982;277
;"Thomas";"Born";"BüSo";1983;278
;"Raimund Frank";"Borrmann";"NPD";1960;279
;"Johannes Martin Maria";"Bortlisz-Dickhoff";"GRÜNE";1957;280
;"Wolfgang";"Bosbach";"CDU";1952;281
;"Hans-Joachim";"Bosold";"NPD";1952;282
"Dr.";"Arnold Klaus Siegmund Georg";"Bosse von";"GRÜNE";1947;283
;"Karin";"Bothe";"FDP";1965;284
;"Martin";"Bothe";"Die Tierschutzpartei";1968;285
;"Reiner";"Bousonville";"GRÜNE";1961;286
;"Stefan Alois";"Boxler";"GRÜNE";1964;287
;"Nicole";"Bracht-Bendt";"FDP";1959;288
;"Norbert";"Brackmann";"CDU";1954;289
;"Klaus Peter";"Brähmig";"CDU";1957;290
;"Rolf";"Bräuer";"GRÜNE";1955;291
"Dr.";"Lutz";"Bräutigam";"GRÜNE";1968;292
;"Matthias Walter Heinrich";"Brand";"FAMILIE";1961;293
;"Michael";"Brand";"CDU";1973;294
;"Sascha";"Brandhoff";"PIRATEN";1982;295
;"Bernd";"Brandl";"BP";1972;296
"Dr.";"Reinhard";"Brandl";"CSU";1977;297
;"Klaus";"Brandner";"SPD";1949;298
;"Achim";"Brandt";"Volksabstimmung";1965;299
;"Fridolin";"Brandt";"DIE LINKE";1945;300
;"Helmut";"Brandt";"CDU";1950;301
;"Holger Ernst";"Brandt";;1989;302
;"Gerald";"Branghofer";"DVU";1983;303
;"Max Erich";"Branghofer";"DVU";1945;304
;"Willi";"Brase";"SPD";1951;305
;"Stephen";"Brauer";"FDP";1970;306
"Dr.";"Ralf";"Brauksiepe";"CDU";1967;307
"Dr.";"Bernhard";"Braun";"GRÜNE";1958;308
"Dr.";"Helge Reinhold";"Braun";"CDU";1972;309
;"Petra";"Braun";"MLPD";1957;310
;"Volker";"Braun";"NPD";1970;311
;"Manfred";"Brauner";"DIE LINKE";1960;312
;"von Harald-Ingo";"Bredow";"BP";1949;313
;"Ulrich Johannes";"Brehme";"ödp";1966;314
;"Heike";"Brehmer";"CDU";1962;315
;"Manfred Helmut";"Breidbach";"NPD";1968;316
;"Rolf";"Breidenbach";"FDP";1955;317
;"Klaus";"Breil";"FDP";1945;318
;"Elke";"Breitenbach";"DIE LINKE";1961;319
;"Thomas Achim";"Breitenfellner";"CSU";1982;320
;"Adolf Wilhelm";"Breitmeier";"ADM";1937;321
;"Hermann";"Brem";"GRÜNE";1961;322
;"Klaus";"Bremer";"MLPD";1952;323
"Dr.";"Gerd";"Brenner";"GRÜNE";1949;324
;"Ernst";"Brenning";"CDU";1952;325
;"Harald";"Bresch";;1962;326
;"Frank";"Bresonik";"FAMILIE";1969;327
;"Eveline";"Breyer";"CDU";1982;328
"Dr.";"Andreas";"Brie";"DIE LINKE";1950;329
;"Ralph";"Brinkhaus";"CDU";1968;330
;"Bernhard";"Brinkmann";"SPD";1952;331
;"Rüdiger";"Brocke von";"SPD";1957;332
;"Benjamin";"Brodnicki";"DVU";1986;333
;"Bernd";"Brodtrück";"BüSo";1970;334
;"Edith";"Brömsen";"DIE VIOLETTEN";1959;335
;"Dieter Manfred";"Brose";"NPD";1943;336
;"Martin";"Broziat";"FDP";1962;337
;"Andreas";"Brückner";;1968;338
;"Rainer";"Brüderle";"FDP";1945;339
;"Norbert";"Brüggemann";"FDP";1975;340
;"Regine";"Brüggemann";"DIE LINKE";1956;341
;"Klaus-Dieter";"Brügmann";"DIE LINKE";1951;342
;"Monika Minna Marie";"Brüning";"CDU";1951;343
;"Peter Klaus";"Brüsemeister";"DIE LINKE";1966;344
;"Wolfgang";"Bruhn";"NPD";1961;345
;"Peter Josef";"Brumann";"FAMILIE";1942;346
;"Doris";"Brummer";"CDU";1960;347
;"Sabine";"Brunke-Reubold";"GRÜNE";1969;348
;"Angelika";"Brunkhorst";"FDP";1955;349
;"Josef";"Brunner";"Freie Union";1950;350
"Dr.";"Karl Heinz";"Brunner";"SPD";1953;351
;"Eckhard Karl Alfred";"Bruns";"RRP";1944;352
;"Michael";"Bruns";"DIE LINKE";1973;353
;"Jörg";"Brunschweiger";"DIE VIOLETTEN";1979;354
;"Rosi";"Brunschweiger";"DIE VIOLETTEN";1951;355
;"Raffaela";"Bubendorfer";"FDP";1988;356
;"Klaus";"Bucher";"FDP";1968;357
;"Christine";"Buchholz";"DIE LINKE";1971;358
;"Conrad";"Buchholz";"FDP";1982;359
;"Doris";"Buchholz";"FDP";1959;360
;"Daniel";"Buchmann";"BüSo";1981;361
;"Sven";"Buchmann";;1979;362
"Prof. Dr.";"Klaus";"Buchner";"ödp";1941;363
;"Enrico";"Buchs";"FDP";1976;364
;"Bettina Dorothee";"Buchta";"MLPD";1960;365
;"Josef";"Buck";"MLPD";1961;366
;"Andreas";"Büchner";"NPD";1982;367
;"Manfred";"Büddemann";"DIE LINKE";1951;368
;"Katharina";"Büdel";"FDP";1951;369
;"Tim";"Bühner";"DIE LINKE";1978;370
;"Marco";"Bülow";"SPD";1971;371
;"Hans-Ulrich";"Bünger";"DIE LINKE";1940;372
;"Andreas";"Büschleb";"NPD";1972;373
;"Erika-Marika";"Büsing";"SPD";1964;374
;"Vesna";"Buljevic";"MLPD";1954;375
;"Peter";"Bulke";"REP";1939;376
;"Eva";"Bulling-Schröter";"DIE LINKE";1956;377
;"Edelgard";"Bulmahn";"SPD";1951;378
;"Andreas";"Bummel";"FDP";1976;379
"Dr.";"Martina";"Bunge";"DIE LINKE";1951;380
;"Ursula";"Burchardt";"SPD";1954;381
;"Ernst";"Burgbacher";"FDP";1949;382
"Dr.";"Thomas";"Burger";"SPD";1970;383
;"Max";"Burger-Heidger";"GRÜNE";1954;384
"Dr.";"Christian";"Burholt";"CDU";1972;385
;"Karin";"Burkart";"GRÜNE";1950;386
;"Boris";"Burkert";"GRÜNE";1961;387
;"Martin";"Burkert";"SPD";1964;388
;"Karl-Heinz";"Burkhardt";"DVU";1939;389
;"Franz Paul";"Burkowski";"PBC";1930;390
;"Erich Karl";"Burmeister";"DIE LINKE";1953;391
;"Andreas";"Burmester";"SPD";1978;392
;"Thomas Wolfgang";"Bursian";"FDP";1959;393
;"Yani";"Bursukis";"SPD";1945;394
;"Walter";"Busch-Hübenbecker";"DIE LINKE";1951;395
;"Marco";"Buschmann";"FDP";1977;396
;"Boris-Georg";"Bussche-Haddenhausen Freiherr von dem";"FDP";1966;397
;"Windfried";"Bußmann";"RENTNER";1951;398
;"Brigitte";"Butenschön";"MLPD";1949;399
;"Cajus Julius";"Caesar";"CDU";1951;400
;"Sylvia";"Canel";"FDP";1958;401
;"Immacolata";"Caravetta Glosemeyer";"SPD";1965;402
;"Hans-Werner";"Carlhoff";"CDU";1947;403
;"Richard Hermann";"Carls";"DVU";1931;404
;"Christian";"Carstensen";"SPD";1973;405
;"Olaf";"Caspary";"DVU";1967;406
"Dr.";"Lars";"Castellucci";"SPD";1974;407
;"Nicole";"Cayrol";"SPD";1980;408
;"Mario";"Christen";"ödp";1953;409
;"Rainer Helmar";"Christiansen";;1945;410
;"Heiner Leslie Otto";"Christinck";"FAMILIE";1946;411
;"Stefan";"Christoph";"GRÜNE";1988;412
;"Rainer";"Ciechoradzki";"ödp";1965;413
;"Volker";"Cigelski";"NPD";1953;414
;"Antje";"Claaßen";"DIE LINKE";1968;415
;"Bernhard";"Clasen";"DIE LINKE";1957;416
;"Roland";"Claus";"DIE LINKE";1954;417
;"Claus Christian";"Claussen";"CDU";1961;418
;"Stefan Georg";"Clemens";"FAMILIE";1959;419
;"Christine";"Coelho";"DIE VIOLETTEN";1964;420
;"Ingrid";"Cölsch";"DIE VIOLETTEN";1954;421
;"Gitta";"Connemann";"CDU";1964;422
;"Gabriele Maria";"Conrad";"MLPD";1960;423
;"Anna";"Conrads";"DIE LINKE";1979;424
;"Michael";"Conz";"FDP";1966;425
;"Florian";"Cordes";"NPD";1975;426
;"Walter";"Corné de";"Volksabstimmung";1944;427
;"Eva-Maria";"Corr";"FAMILIE";1956;428
;"Lino";"Coscia";;1988;429
;"Thorsten";"Crämer";"NPD";1975;430
;"Viola";"Cramon-Taubadel von";"GRÜNE";1970;431
;"Claus";"Cremer";"NPD";1979;432
;"Ruth";"Cremer-Ricken";"GRÜNE";1958;433
;"Petra";"Crone";"SPD";1950;434
;"Corinna";"Croy";"DIE LINKE";1982;435
;"Irfan";"Cüre";"DIE LINKE";1952;436
;"Jaroslav";"Curlisca";"BP";1953;437
;"Dieter";"Cwielong";"DIE LINKE";1957;438
;"Mechthild";"Czapp";"PIRATEN";1982;439
;"Michael";"Czech";"DKP";1955;440
;"Eberhard";"Czichon";"DKP";1930;441
;"Heinz";"Dabrock";"FAMILIE";1956;442
;"Margit";"Dänzer";"DIE VIOLETTEN";1955;443
;"Karl";"Däschner";"NPD";1954;444
;"Sevim";"Dagdelen";"DIE LINKE";1975;445
;"Monika";"Dahl";"DIE LINKE";1965;446
;"Benjamin";"Dahlhoff";"GRÜNE";1978;447
;"Thomas";"Dahlmann";"SPD";1960;448
;"Janosch";"Dahmen";"GRÜNE";1981;449
"Dr.";"Claudia";"Dalbert";"GRÜNE";1954;450
;"Bernhard";"Daldrup";"SPD";1956;451
;"Michael";"Dambacher";"CDU";1979;452
;"Adolf";"Dammann";"NPD";1939;453
"Dr.";"Peter";"Danckert";"SPD";1940;454
;"Bernd";"Dannemann";"FWD";1944;455
;"Britta";"Dassler";"FDP";1964;456
;"Helga";"Daub";"FDP";1942;457
;"Gwenn Patrick";"Dauen";"PIRATEN";1980;458
;"Horst";"Dauter";;1943;459
;"Leo";"Dautzenberg";"CDU";1950;460
;"Elfriede Katharina";"Daxlberger";"RRP";1941;461
;"Diego";"De Filippi";"Die Tierschutzpartei";1978;462
;"Christa";"Debrand";"FAMILIE";1944;463
;"Cornelia";"Debus";"FDP";1958;464
;"Thomas Michael Matthias";"Decker";"CDU";1972;465
;"Wilhelm";"Dedecke";"DIE LINKE";1960;466
;"Klaus-Peter";"Dehde";"SPD";1959;467
"Dr.";"Jörg-Diether";"Dehm-Desoi";"DIE LINKE";1950;468
;"Ekin";"Deligöz";"GRÜNE";1971;469
;"Armin";"Demele";"ödp";1962;470
;"Erika";"Demuth";"CDU";1982;471
;"Hans Günter";"Dennhoven";;1950;472
;"Christine";"Denz";"GRÜNE";1948;473
;"Theodor";"Denzer";"FDP";1951;474
;"Paul";"Derabin";"CDU";1988;475
;"Zeynep";"Dere";"DIE LINKE";1964;476
;"Tilla-Louise";"Deter";"FDP";1961;477
;"Knut Matthias";"Dethlefsen";"SPD";1969;478
;"Wiltrud";"Dettmer";;1951;479
;"Rudolf";"Dettweiler";;1950;480
;"Michael";"Detzler";"CDU";1954;481
;"Holger";"Deubel";"NPD";1980;482
;"Andreas";"Deuschle";"CDU";1979;483
;"Ulrich";"Deuschle";"REP";1952;484
;"Paul";"Deutsch";"MLPD";1951;485
;"Reiner Peter";"Deutschmann";"FDP";1953;486
;"Arno";"Dick";"SPD";1962;487
;"Veronika";"Dicke";"SPD";1967;488
"Dr.";"Charlotte";"Didlap";;1965;489
;"Jens";"Diebler";"FAMILIE";1966;490
;"Gudrun";"Diebold";"ödp";1956;491
;"Jan";"Dieckmann";;1980;492
;"Mali";"Dieckmann";;1984;493
;"Sandro";"Dierbeck";"FDP";1975;494
;"Norman";"Dießner";"GRÜNE";1971;495
;"Edeltraud";"Dietert";;1953;496
;"Klaus";"Dietrich";"NPD";1936;497
;"Matthias";"Dietrich";"ödp";1971;498
;"Rolf";"Dietrich";"NPD";1944;499
;"Christina";"Diggance";"DIE VIOLETTEN";1966;500
;"Esther";"Dilcher";"SPD";1965;501
;"Dirk";"Dillschneider";"CDU";1974;502
;"Michael";"Dimitrov";"FDP";1973;503
;"Erkan";"Dinar";"DIE LINKE";1980;504
;"Konrad Willibald";"Dippel";;1971;505
;"Alfred";"Dirks";"DIE LINKE";1951;506
;"Frank Holger Kurt";"Ditsche";;1966;507
;"Heidrun";"Dittrich";"DIE LINKE";1958;508
"Dr.";"Bijan";"Djir-Sarai";"FDP";1976;509
"Dr.";"Larissa";"Dloczik";"ödp";1967;510
;"Josef";"Dobelmann";"GRÜNE";1957;511
;"Wolfgang";"Dobler";"FDP";1954;512
;"Alexander";"Dobrindt";"CSU";1970;513
;"Wolfgang";"Döcke";"FDP";1954;514
;"Sebastian";"Döhring";"NPD";1980;515
"Prof. Dr.";"Martina";"Dören";"SPD";1959;516
;"Thomas";"Dörflinger";"CDU";1965;517
;"Patrick";"Döring";"FDP";1973;518
;"Waltraud";"Döring";"ödp";1952;519
