Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer
;"Max Jürgen";"Drescher";"FDP";1968;545
"Dr.";"Carl-Christian";"Dressel";"SPD";1970;546
;"Hans-Joachim";"Drewes";"RRP";1936;547
;"Gerhard";"Drexler";"FDP";1964;548
;"Heidi";"Drinkard";"NPD";1946;549
;"Klaus Willy";"Drinkmann";"RENTNER";1937;550
;"Waltraud Lotte";"Drinkmann";"RENTNER";1954;551
;"Elvira";"Drobinski-Weiß";"SPD";1951;552
;"Ute Regina";"Drothler";"ödp";1969;553
;"Kai-Uwe";"Ducke";"BüSo";1975;554
;"Wolfgang Georg";"Duda";"NPD";1962;555
;"Garrelt";"Duin";"SPD";1968;556
;"Angelica";"Dullinger";"SPD";1960;557
;"Andrea Brigitte";"Dumberger";"MLPD";1957;558
;"Klaus";"Dumberger";"MLPD";1964;559
;"Nina";"Dusper";"MLPD";1975;560
"Dr.";"Kurt Carlos";"Duwe";"FDP";1951;561
;"Mechthild";"Dyckmans";"FDP";1950;562
;"Thomas";"Dyhr";"GRÜNE";1958;563
;"Klaus-Peter";"Eberhard";"FDP";1962;564
;"Dagmar";"Eberhard-Forschner";"MLPD";1953;565
"Dr.";"Christian";"Eberl";"FDP";1954;566
;"Johann";"Eberle";"BP";1948;567
;"Dieter";"Ebert";"REP";1955;568
;"Harald";"Ebner";"GRÜNE";1964;569
;"Jutta";"Eckenbach";"CDU";1952;570
;"Michael";"Eckert";;1981;571
;"René";"Eckert van";"SPD";1987;572
;"Hannelore";"Eckhardt";"SPD";1954;573
;"Herbert";"Eckler";"BüSo";1931;574
;"Sebastian";"Edathy";"SPD";1969;575
;"Lars Oliver";"Effertz";"FDP";1978;576
;"Jürgen";"Eggers";"DIE LINKE";1957;577
;"Ingo";"Egloff";"SPD";1956;578
;"Hasso";"Ehinger";"DIE LINKE";1940;579
;"Hans-Joachim";"Ehnes";"DIE LINKE";1956;580
;"Hans-Werner";"Ehrenberg";"FDP";1952;581
;"Robert";"Ehrhardt";"REP";1982;582
;"Ewald";"Ehrl";"NPD";1961;583
;"Martina";"Ehrlich";"SPD";1965;584
;"Siegmund";"Ehrmann";"SPD";1952;585
;"Bernd";"Ehrreich";"NPD";1972;586
;"Ulrich";"Eichhorst";"SPD";1946;587
;"Martin";"Eichler";"ödp";1968;588
;"Rainer Hans";"Eichler";"REP";1950;589
;"Franziska";"Eichstädt-Bohlig";"GRÜNE";1941;590
;"Hermann Josef Jupp";"Eicker";"MLPD";1949;591
;"Andreas";"Eickmeier";"FDP";1954;592
;"Andreas";"Eifler";"MLPD";1955;593
;"Manuela";"Eifler";"MLPD";1957;594
;"Ellen";"Eigemeier";"ödp";1970;595
;"Helmut";"Eigen";"DIE LINKE";1955;596
;"Ulrich";"Eigenfeld";"NPD";1947;597
;"Egon";"Eigenthaler";"REP";1938;598
;"Gerhard Fritz";"Einrauch";"REP";1929;599
;"Toralf";"Einsle";"FDP";1980;600
"Dr.";"Stephan";"Eisel";"CDU";1955;601
;"Dietmar";"Eisele";"GRÜNE";1959;602
;"Klaus Peter";"Eisold";"SPD";1961;603
;"Henrik";"Eitel";"CDU";1977;604
;"Hanaa";"El-Hussein";"FDP";1968;605
"Dr.";"Andreas";"Ellendt";"CDU";1963;606
;"Stefan";"Ellenrieder";"BP";1961;607
;"René";"Emcke";"PIRATEN";1977;608
;"Raimund Karl";"Enders";"FAMILIE";1953;609
;"Thomas";"Endres";"DIE LINKE";1960;610
;"Leopold";"Endriß";"ADM";1936;611
;"Franziska";"Engehausen";"SPD";1963;612
;"Stefan Klaus";"Engel";"MLPD";1954;613
"Dr.";"Ursula";"Engelen-Kefer";"SPD";1943;614
;"Klaus Bruno";"Engelhardt";"DIE LINKE";1953;615
;"Sigurd Adolf";"Engelmann";"NPD";1936;616
;"Michaela Barbara";"Engelmeier-Heite";"SPD";1960;617
;"Martin";"Engels";"CDU";1963;618
;"Oliver";"Engels";"FDP";1969;619
;"Rainer";"Engels";"NPD";1963;620
;"Christine";"Engelschall";"Die Tierschutzpartei";1965;621
;"Jan";"Engert";"PIRATEN";1986;622
;"Gaby";"Englmeier";"CSU";1967;623
"Dr.";"Dagmar";"Enkelmann";"DIE LINKE";1956;624
;"Horst";"Entinger";"RRP";1944;625
;"Jürgen";"Eppler";"ADM";1971;626
;"Birgit";"Erben";"DIE LINKE";1952;627
;"Rainer";"Erdel";"FDP";1955;628
;"Christoph";"Erdmenger";"GRÜNE";1970;629
;"David";"Erkalp";"CDU";1974;630
;"Frank";"Erkner";"FDP";1966;631
;"Gernot";"Erler";"SPD";1944;632
;"Wolfgang Manfred";"Ermert";"REP";1944;633
;"Klaus";"Ernst";"DIE LINKE";1954;634
;"Petra";"Ernstberger";"SPD";1955;635
;"Engin";"Eroglu";"GRÜNE";1982;636
;"Mario";"Ertel";"NPD";1963;637
;"Mario";"Ertel";"ödp";1976;638
;"Frank";"Eschrich";"DIE LINKE";1964;639
;"Saskia";"Esken";"SPD";1961;640
;"Jörg";"Essen van";"FDP";1947;641
;"Hubert";"Eßer";"SPD";1959;642
;"Steffen";"Etzel";"DIE LINKE";1950;643
;"Nina";"Eumann";"DIE LINKE";1965;644
;"Dieter Walter Karl";"Euscher";"RRP";1939;645
;"Karin";"Evers-Meyer";"SPD";1949;646
;"Adalbert Peter";"Ewen";"CDU";1952;647
;"Monika";"Ewert";"REP";1940;648
;"Anke";"Eymer";"CDU";1949;649
;"Stefan";"Faber";"NPD";1951;650
"Dr.";"Bernd-Bernhard";"Fabritius";"CSU";1965;651
;"Hannelore";"Fackler-Plump";"BüSo";1946;652
;"Ivette Annabell";"Fähnemann";"DVU";1974;653
"Prof. Dr.";"Christine";"Färber";"SPD";1964;654
;"Daniel";"Fahr";"FDP";1976;655
;"Florian";"Fahrner";"ödp";1978;656
;"David";"Faku";"BüSo";1986;657
;"Tobias Christoph Mzingisi";"Faku";"BüSo";1988;658
;"Benno";"Falk";"MLPD";1953;659
;"Markus";"Falk";"FDP";1970;660
;"Peter";"Falk";"SPD";1964;661
;"Herbert";"Falke";"GRÜNE";1956;662
;"Rena";"Farquhar";"FDP";1974;663
;"Gabriele";"Faulhaber";"DIE LINKE";1953;664
;"Dirk";"Faust";"FDP";1971;665
"Dr.";"Hans-Georg";"Faust";"CDU";1948;666
;"Matthias";"Faust";"DVU";1971;667
"Dr.";"Johannes";"Fechner";"SPD";1972;668
;"Hanno";"Fecke";"SPD";1962;669
;"Katharina";"Fegebank";"GRÜNE";1977;670
;"Thomas";"Fehling";"FDP";1967;671
;"Ralf";"Fehlmann";"FAMILIE";1957;672
;"Anette";"Feike";"SPD";1959;673
;"Katharina";"Feike";"SPD";1976;674
;"Uwe";"Feiler";"CDU";1965;675
;"Karin";"Feindt";"NPD";1940;676
"Dr.";"Thomas Wolfgang";"Feist";"CDU";1965;677
;"Konrad Kurt";"Felber";"FDP";1953;678
;"Thomas";"Feldhaus";;1972;679
;"Dagmar";"Feldmann";"FAMILIE";1963;680
;"Thurid";"Feldmann";"DIE LINKE";1964;681
;"Martina";"Feldmayer";"GRÜNE";1964;682
"Dr.";"Fritz";"Felgentreu";"SPD";1968;683
"Dr.";"Bernd";"Fell";"FDP";1948;684
;"Hans-Josef";"Fell";"GRÜNE";1952;685
;"Madeleine";"Fellauer";"BüSo";1979;686
;"Peter";"Fendt";"BP";1950;687
;"Stefan";"Fenner";"FDP";1958;688
;"Gisbert";"Ferger";"REP";1933;689
;"Enak";"Ferlemann";"CDU";1963;690
;"Elke";"Ferner";"SPD";1958;691
;"Wolfgang";"Ferner";"DIE LINKE";1952;692
"Dr.";"Stefan";"Feuerstein";"FDP";1951;693
;"Alexander";"Feyen";"NPD";1975;694
;"Thomas";"Fickenwirth";"FDP";1954;695
;"Sascha";"Fiek";"FDP";1974;696
;"Marion";"Figge";"NPD";1964;697
;"Josef";"Filippek";"DIE LINKE";1949;698
;"Matthias";"Fimmel";;1971;699
;"Elke";"Fimmen";"BüSo";1954;700
;"Klaus";"Fimmen";"BüSo";1956;701
;"Jochen";"Findeisen";"DIE LINKE";1948;702
;"Jan Niklas";"Fingerle";"PIRATEN";1974;703
;"Eva-Maria";"Fink-Hanebuth";"FDP";1955;704
;"Peter";"Finke";"RENTNER";1949;705
;"Ingrid";"Fischbach";"CDU";1957;706
;"Axel";"Fischer";"CDU";1966;707
;"Christian";"Fischer";"NPD";1982;708
;"Christian";"Fischer";"PIRATEN";1979;709
"Dr.";"Dietrich";"Fischer";"REP";1930;710
;"Dirk Erik";"Fischer";"CDU";1943;711
;"Harald";"Fischer";"FAMILIE";1960;712
;"Hartwig";"Fischer";"CDU";1948;713
;"Karl-Heinz";"Fischer";"REP";1952;714
;"Lydia";"Fischer";"CDU";1949;715
;"Marcus";"Fischer";"FDP";1964;716
;"Markus";"Fischer";"FDP";1964;717
;"Peter";"Fischer";"SPD";1955;718
;"Poul-Ludwig";"Fischer";"FDP";1946;719
;"Roland";"Fischer";"SPD";1961;720
;"Werner";"Fischer";;1955;721
;"Jürgen";"Fischinger";"NPD";1956;722
;"Peter";"Fitzek";;1965;723
;"Ulrike";"Flach";"FDP";1951;724
"Dr.";"Maria Franziska";"Flachsbarth";"CDU";1963;725
;"Daniel";"Flachshaar";"PIRATEN";1976;726
"Dr.";"Helmut";"Fleck";"Volksabstimmung";1938;727
;"Hermann";"Fleischer";"DIE LINKE";1950;728
;"Holger";"Flöge";"FDP";1956;729
;"Klaus-Peter";"Flosbach";"CDU";1952;730
;"Thomas";"Flügge";"SPD";1974;731
;"Stephan";"Flug";"NPD";1967;732
;"Matthias";"Fobo";"GRÜNE";1961;733
;"Bert-Rüdiger";"Förster";"REP";1942;734
;"Hildegard";"Förster-Heldmann";"GRÜNE";1958;735
;"Frank";"Förstermann";"CDU";1964;736
;"Verena";"Föttinger";"ödp";1956;737
;"Gabriele";"Fograscher";"SPD";1957;738
;"Peter";"Forelle";"CDU";1973;739
;"Manuela";"Forster";"ödp";1972;740
;"Josef";"Fortner";"ödp";1960;741
"Dr.";"Johannes";"Frackowiak";"FDP";1968;742
;"Sven Henri";"Franck";"SPD";1959;743
;"Hartmut";"Frank";;1953;744
;"Maria";"Frank";;1938;745
"Dr.";"Edgar";"Franke";"SPD";1960;746
;"Philipp";"Frankenfeld";"FDP";1971;747
;"Herbert";"Frankenhauser";"CSU";1945;748
;"Frank";"Franz";"NPD";1978;749
;"Markus";"Franz";"CDU";1963;750
;"Uwe";"Franz";"SPD";1962;751
;"Manfred";"Franzke";;1952;752
;"Gabriele";"Frechen";"SPD";1956;753
;"Dorothea";"Frederking";"GRÜNE";1964;754
;"Jürgen";"Freimuth";"ödp";1954;755
;"Dagmar";"Freitag";"SPD";1953;756
;"Reinhard";"Freitag";"FDP";1961;757
;"Manfred";"Frentzen";"NPD";1948;758
;"Erich";"Freudenberger";"PBC";1971;759
;"Astrid";"Freudenstein";"CSU";1973;760
;"Klaus";"Freudigmann";"MLPD";1942;761
;"Elvira-Anna";"Fricke";"MLPD";1934;762
;"Otto";"Fricke";"FDP";1965;763
;"Sebastian";"Fricke";"GRÜNE";1974;764
;"Sabine";"Fricker";"MLPD";1957;765
;"Markus Paul Felix";"Fridgen";"NPD";1975;766
;"Carolin";"Friedemann";"GRÜNE";1981;767
;"Paul Klemens";"Friedhoff";"FDP";1943;768
;"Peter";"Friedhoff";"FDP";1970;769
;"Patrick";"Friedl";"GRÜNE";1970;770
"Dr.";"Hans-Peter";"Friedrich";"CSU";1957;771
;"Peter";"Friedrich";"SPD";1972;772
;"Thomas";"Friedrich";"ödp";1955;773
;"Hans-Christian";"Friedrichs";"GRÜNE";1964;774
;"Maika";"Friemann-Jennert";"CDU";1964;775
;"Michael";"Frieser";"CSU";1964;776
;"Urs Fabian";"Frigger";"FDP";1984;777
"Dr.";"Benedikt";"Frings";"NPD";1957;778
;"Jörg";"Frister";"FDP";1977;779
;"Kerstin";"Fritsch";"NPD";1962;780
;"Nicole";"Fritsche";"DIE LINKE";1979;781
;"Erich Georg";"Fritz";"CDU";1946;782
;"Maria-Elisabeth";"Fritzen";"GRÜNE";1962;783
;"Jakobus";"Fröhlich";"MLPD";1945;784
;"Josephine";"Fröhlich";"NPD";1984;785
;"Patrick";"Fröhlich";"CSU";1981;786
;"Ulrich";"Fröhlich-Abrecht";"CDU";1974;787
;"Christa";"Frohn";"DIE LINKE";1955;788
;"Gabi";"Fromm";"SPD";1951;789
;"Jochen-Konrad";"Fromme";"CDU";1949;790
;"Ferdinand";"Frummet";"RRP";1951;791
;"Klaus";"Fuchs";"MLPD";1954;792
"Dr.";"Michael";"Fuchs";"CDU";1949;793
;"Hans-Joachim";"Fuchtel";"CDU";1952;794
;"Gabriel";"Fürst";"CDU";1978;795
;"Alexander";"Fürter";"FDP";1970;796
;"Klaus-Wilhelm";"Füßmann";"FDP";1957;797
;"Michael";"Fuest";"GRÜNE";1955;798
;"Gerald Paul";"Fütterer";"ödp";1957;799
;"Alexander";"Funk";"CDU";1974;800
;"Reinhard";"Funk";"MLPD";1958;801
;"Madeleine";"Funke";"CDU";1963;802
;"Holger";"Furch";"PIRATEN";1985;803
;"Irina";"Gaba";"BP";1988;804
;"Martin";"Gabling";"NPD";1962;805
;"Sigmar";"Gabriel";"SPD";1959;806
;"Ingo";"Gädechens";"CDU";1960;807
;"Gabriele";"Gärtner";"MLPD";1977;808
;"Joachim";"Gärtner";"MLPD";1948;809
;"Johann";"Gärtner";"REP";1950;810
;"Matthias";"Gärtner";"NPD";1984;811
;"Monika Ruth";"Gärtner-Engel";"MLPD";1952;812
;"Annegret";"Gärtner-Leymann";"MLPD";1977;813
;"Siegfried";"Gärttner";"NPD";1946;814
;"Uwe";"Gäthje";"RRP";1940;815
;"Giuliano";"Gagliardi";;1988;816
"Dr.";"Wolfgang";"Gahler";;1948;817
;"Dietmar";"Gaisenkersting";"PSG";1967;818
;"Silke";"Gajek";"GRÜNE";1962;819
"Dr.";"Klaus Olaf Hagen";"Gallas";"SPD";1941;820
;"Ronald";"Galle";"BüSo";1957;821
;"Marc";"Galwas";"DKP";1970;822
"Dr.";"Thomas";"Gambke";"GRÜNE";1949;823
;"Oliver";"Gantz";"CDU";1981;824
;"Wilhelm";"Gasser";"PIRATEN";1960;825
;"Harald Wilhelm";"Gatermann";"DIE LINKE";1955;826
;"Ulrike";"Gauderer";"GRÜNE";1971;827
;"Reiner";"Gauger";"CDU";1962;828
"Dr.";"Horst";"Gaumann";"FDP";1965;829
"Dr.";"Peter";"Gauweiler";"CSU";1949;830
"Dr.";"Thomas";"Gebhart";"CDU";1971;831
"Dr.";"Jürgen";"Gehb";"CDU";1952;832
;"Wolfgang";"Gehrcke-Reymann";"DIE LINKE";1943;833
;"Kai Boris";"Gehring";"GRÜNE";1977;834
;"Norbert";"Geis";"CSU";1939;835
;"Andreas Werner";"Geisel";"SPD";1966;836
"Dr.";"Edmund Peter";"Geisen";"FDP";1949;837
;"Hans-Christoph";"Gensichen";"PBC";1933;838
;"Patrick";"Gentsch";"NPD";1976;839
;"Sven";"George";"DKP";1985;840
;"Gabriele";"Georgiou";"MLPD";1955;841
;"Christian";"Gerber";"GRÜNE";1985;842
;"Michael";"Gerdes";"SPD";1960;843
"Dr.";"Klaus-Uwe";"Gerhardt";"GRÜNE";1955;844
"Dr.";"Wolfgang";"Gerhardt";"FDP";1943;845
;"Alois";"Gerig";"CDU";1956;846
;"Kai";"Gersch";"FDP";1971;847
;"Martin";"Gerster";"SPD";1971;848
;"Waltraud";"Geß";"CM";1965;849
;"Joachim";"Gessinger";"GRÜNE";1945;850
;"Klaus Erwin";"Gewehr";"SPD";1958;851
;"Paul Felix";"Giebeler";"BüSo";1981;852
;"Michael";"Gielnik";"NPD";1983;853
;"Eberhard";"Gienger";"CDU";1951;854
;"Elisabeth";"Gierlings";"SPD";1932;855
;"Rita";"Giermann";"MLPD";1941;856
;"Tim";"Giesbert";"GRÜNE";1980;857
;"Herta-Margarete";"Giese";"Die Tierschutzpartei";1935;858
;"Jan";"Giesel";"ödp";1972;859
;"David";"Giesler";"NPD";1984;860
;"Anton";"Gieß";"RENTNER";1941;861
;"Cornelia";"Gießler";"CDU";1978;862
;"Raimund";"Gilbert";"BP";1990;863
;"Alexandra";"Gill-Gers";"SPD";1970;864
;"Horst Helmut";"Gilles";"RRP";1943;865
;"Elmar";"Gillet";"GRÜNE";1965;866
;"Marlene";"Gilsdorf";"ödp";1935;867
;"Magdalena Isabella";"Giren";"DIE LINKE";1960;868
;"Dagmar";"Girmus";"Die Tierschutzpartei";1946;869
;"Gero";"Gisart";"CDU";1942;870
;"Klaus";"Glahn";"RRP";1942;871
;"Claudia";"Glanz";"GRÜNE";1954;872
;"Bärbel";"Glas";"CDU";1962;873
;"Iris";"Gleicke";"SPD";1964;874
;"David";"Glöckner";"REP";1985;875
;"Michael";"Glos";"CSU";1944;876
;"Günter";"Gloser";"SPD";1950;877
;"Ulrich";"Glück";"ödp";1969;878
;"Therese";"Gmelch";"MLPD";1955;879
;"Eva-Maria";"Godau";;1947;880
;"Angela";"Godawa";"SPD";1958;881
;"Angelika";"Göhner-Feller";"MLPD";1954;882
;"Nerman";"Göktas";"DIE LINKE";1958;883
;"Fritz";"Göldner";"PBC";1966;884
;"Josef";"Göppel";"CSU";1950;885
;"Katrin";"Göring-Eckardt";"GRÜNE";1966;886
;"Bianca";"Görke";"DIE LINKE";1967;887
;"Horst Günter";"Görmann";"NPD";1953;888
;"Ralf";"Goertz";"REP";1965;889
;"Christian";"Götz";"NPD";1967;890
;"Elisabeth";"Götz";"NPD";1969;891
;"Peter";"Götz";"CDU";1947;892
"Dr.";"Wolfgang";"Götzer";"CSU";1955;893
;"Marco";"Gogolin";"SPD";1980;894
;"Nicole";"Gohlke";"DIE LINKE";1975;895
;"Lars";"Gold";"NPD";1985;896
;"Stephanie-Johanna";"Goldbach";"Die Tierschutzpartei";1980;897
;"Hans-Michael";"Goldmann";"FDP";1946;898
;"Ulrike";"Goldstein";"GRÜNE";1976;899
;"Heinz";"Golombeck";"FDP";1948;900
;"Diana";"Golze";"DIE LINKE";1975;901
;"Axel";"Gonder";"DIE LINKE";1958;902
;"Markus";"Gorges";"CDU";1975;903
;"Thomas";"Gorr";"NPD";1968;904
;"Ulrike";"Gottschalck";"SPD";1955;905
;"Sascha";"Gottschalk";"GRÜNE";1978;906
;"Ralf";"Grabow";"FDP";1965;907
;"Dirk";"Grabowski";;1973;908
;"Andrea";"Graf";"GRÜNE";1966;909
;"Angelika";"Graf";"SPD";1947;910
;"Rainer";"Graf";"ödp";1957;911
;"Jutta";"Graf-Baier";"DIE LINKE";1947;912
;"Iris";"Gramberg";"DIE LINKE";1960;913
;"Markus";"Grammel";"PBC";1976;914
;"Ute";"Granold";"CDU";1955;915
;"Bruno";"Granser";"REP";1953;916
;"Dennis";"Granzow";"SPD";1963;917
;"Heinz Hubertus";"Grass";"GRÜNE";1958;918
;"Armin";"Grassert";"DIE VIOLETTEN";1959;919
;"Denis";"Gratzke";"NPD";1978;920
;"Toralf";"Grau";"REP";1986;921
;"Oliver";"Graue";"ödp";1967;922
;"Stefan Josef";"Graus";"SPD";1977;923
;"Gero";"Greb";;1945;924
;"Marlies";"Grebe";"SPD";1956;925
;"Max Josef";"Greckl";"RRP";1941;926
;"Christian";"Greeb";"NPD";1984;927
;"Sebastian";"Greiber";"FDP";1980;928
;"Judith";"Greif";"GRÜNE";1984;929
;"Annette";"Greilich";"FDP";1958;930
;"Eberhard";"Grein";"CSU";1959;931
;"Simon";"Gremmler";"ödp";1983;932
;"Maria";"Greuter";"SPD";1953;933
;"Michael";"Grewe";"NPD";1968;934
;"Monika";"Griefahn";"SPD";1954;935
;"Joachim";"Griesbaum";"MLPD";1955;936
;"Kerstin";"Griese";"SPD";1966;937
;"Mareike";"Grigo";"GRÜNE";1977;938
;"Katrin";"Grigoleit";"MLPD";1968;939
;"Gisela";"Grimm";"BP";1962;940
;"Reinhard Dieter";"Grindel";"CDU";1961;941
;"Hermann";"Gröhe";"CDU";1961;942
;"Raphael";"Grohganz";"CDU";1952;943
;"Franz";"Groll";"DIE LINKE";1943;944
;"Gabriele";"Groneberg";"SPD";1955;945
;"Peter";"Groos";"GRÜNE";1964;946
;"Michael";"Groschek";"SPD";1956;947
;"Michael Peter";"Groß";"SPD";1956;948
;"Thorsten";"Groß";"NPD";1973;949
;"Werner";"Groß";"SPD";1962;950
;"Klaus";"Große";"FDP";1953;951
;"Michael";"Grosse-Brömer";"CDU";1960;952
;"Lüder";"Grosser";"BüSo";1973;953
;"Heinz";"Großhans";"DIE VIOLETTEN";1955;954
;"Marc";"Großjean";"PIRATEN";1986;955
;"Edward";"Grossmann";"Volksabstimmung";1947;956
;"Astrid";"Grotelüschen";"CDU";1964;957
;"Annette";"Groth";"DIE LINKE";1954;958
;"Inga";"Groth";"CDU";1981;959
;"Andreas";"Grube";;1960;960
;"Karl-Peter";"Grube";"ödp";1951;961
;"Andreas";"Gruber";"BP";1946;962
;"Markus";"Grübel";"CDU";1959;963
;"Michael Johannes";"Gründler";"BüSo";1958;964
;"Rolf";"Grüning";"DIE LINKE";1959;965
;"Holger";"Grünwedel";"DIE LINKE";1958;966
;"Michael";"Grüß";"DKP";1976;967
"Dr.";"Stefan";"Grüter";"CDU";1954;968
"Prof.";"Monika";"Grütters";"CDU";1962;969
;"Manfred";"Grund";"CDU";1955;970
;"Erhard";"Grundl";"GRÜNE";1963;971
;"Miriam";"Gruß";"FDP";1975;972
;"Helmut";"Gudat";"NPD";1957;973
;"Elke";"Gülck";"DVU";1937;974
;"Tanya-Michelé";"Günter";"FAMILIE";1969;975
;"Joachim";"Günther";"FDP";1948;976
;"Derya";"Gür";"GRÜNE";1981;977
;"Achim";"Güssgen";"FDP";1957;978
;"Ravindra";"Gujjula";"SPD";1954;979
;"Dietrich";"Gumppenberg Freiherr von";"FDP";1941;980
;"Madline";"Gund";"CDU";1987;981
;"Rosemarie";"Gunder";"GRÜNE";1952;982
;"Andrea";"Gungl";"CDU";1959;983
;"Wolfgang";"Gunkel";"SPD";1947;984
;"Erold";"Gutowski";"REP";1950;985
;"Hermann";"Gutsche";"NPD";1954;986
"Dr.";"Karl-Theodor";"Guttenberg Freiherr von und zu";"CSU";1971;987
;"Olav";"Gutting";"CDU";1970;988
"Dr.";"Gregor";"Gysi";"DIE LINKE";1948;989
;"Tilo";"Haag";"PIRATEN";1978;990
;"Detlef";"Haar";"RRP";1945;991
;"Heiner Joachim";"Haase";"GRÜNE";1957;992
;"Stephan";"Haase";"NPD";1968;993
;"Christine";"Habereder";"Volksabstimmung";1963;994
;"Thomas";"Habisch";"PIRATEN";1969;995
;"Manuel";"Hachenburger";;1962;996
;"Tino";"Hackenbruch";"CDU";1977;997
;"Hans-Joachim";"Hacker";"SPD";1949;998
;"Maria";"Hackl";"SPD";1956;999
;"Verena";"Häggberg";"ödp";1973;1000
;"Jörg";"Hähnel";"NPD";1975;1001
;"Stella";"Hähnel";"NPD";1972;1002
;"Andrea";"Hähner";"MLPD";1961;1003
;"Günter";"Haemer";"REP";1940;1004
;"Lothar";"Hänsch";"FDP";1949;1005
;"Heike";"Hänsel";"DIE LINKE";1966;1006
;"Siegfried";"Härle";"NPD";1935;1007
"Dr.";"Gesine";"Haerting";"GRÜNE";1958;1008
;"Jenny";"Häse";"BüSo";1987;1009
;"Peter Joachim Bruno";"Haese";"NPD";1937;1010
;"Reinhard Gerd-Jürgen";"Haese";"REP";1948;1011
;"Markus";"Häßler";;1983;1012
;"Gotthard Lothar";"Häupl";;1949;1013
;"Angelika Jutta";"Hagedorn";"FAMILIE";1957;1014
;"Bettina";"Hagedorn";"SPD";1955;1015
;"Gene";"Hagelstein";"SPD";1967;1016
;"Klaus";"Hagemann";"SPD";1947;1017
;"Heide";"Hagen";"PIRATEN";1956;1018
;"Jörg";"Hager";"NPD";1980;1019
;"Ina";"Hager-Dietel";"CSU";1959;1020
;"Rita";"Hagl";"SPD";1970;1021
;"Florian";"Hahn";"CSU";1974;1022
;"Michael";"Hahn";"NPD";1970;1023
;"Holger-Heinrich";"Haibach";"CDU";1971;1024
;"Metin";"Hakverdi";"SPD";1969;1025
;"Fredy";"Halbroth";"REP";1953;1026
;"Marcel";"Haliti";"NPD";1983;1027
;"Alexandra";"Hall";"ZENTRUM";1972;1028
;"Ingo";"Haller";"NPD";1972;1029
;"Matthias";"Halmanns";"NPD";1981;1030
;"Karen";"Haltaufderheide";"GRÜNE";1960;1031
;"Ralf";"Hamacher";"FAMILIE";1962;1032
;"Enrico";"Hamisch";"NPD";1974;1033
;"Sandro";"Hammer";"DIE LINKE";1974;1034
;"Tim";"Hanke";"CDU";1979;1035
;"Brigit Susanne";"Hannemann-Röttgers";"SPD";1961;1036
"Dr.";"Christel";"Happach-Kasan";"FDP";1950;1037
"Dr.";"Stephan";"Harbarth";"CDU";1971;1038
;"Jürgen";"Hardt";"CDU";1963;1039
;"Oliver";"Harf";"NPD";1972;1040
;"Burkhard";"Harting";"ZENTRUM";1962;1041
;"Alexander";"Hartmann";"BüSo";1961;1042
;"Birgit";"Hartmann";"BP";1960;1043
;"Detlef";"Hartmann";"NPD";1959;1044
;"Esther";"Hartmann";"DIE LINKE";1955;1045
;"Georg";"Hartmann";"NPD";1936;1046
;"Günther";"Hartmann";"ödp";1965;1047
;"Maria";"Hartmann";"FAMILIE";1955;1048
;"Michael";"Hartmann";"SPD";1963;1049
;"Simon";"Hartmann";"SPD";1977;1050
;"Thomas";"Hartmann";"GRÜNE";1963;1051
;"Uwe";"Hartmann";"BP";1963;1052
;"Sabine";"Hartmann-Bastert";"CDU";1974;1053
;"Frank";"Hartwig";"NPD";1960;1054
;"Karin";"Hartwig";"NPD";1960;1055
;"Agnes";"Hasenjäger";"DIE LINKE";1950;1056
;"Dagmar";"Hassel";"CDU";1958;1057
;"Sarah Luzia";"Hassel-Reusing";"ödp";1961;1058
;"Philipp Maximilian";"Hasselbach";"NPD";1987;1059
;"Gerda";"Hasselfeldt";"CSU";1950;1060
;"Britta";"Haßelmann";"GRÜNE";1961;1061
;"Florian";"Haßler";"GRÜNE";1977;1062
;"Jörgen Michael";"Hassler";"SPD";1983;1063
;"Marc";"Hauck";"FDP";1978;1064
;"Michael";"Hauck";"GRÜNE";1970;1065
;"Norbert";"Hauck";"REP";1949;1066
;"Rainer";"Hauenschild";"DIE LINKE";1968;1067
;"Matthias";"Hauer";"CDU";1977;1068
;"Nina";"Hauer";"SPD";1968;1069
;"Stefan";"Haug";"GRÜNE";1958;1070
;"Friedrich";"Haugg";"FDP";1969;1071
;"Gabriele";"Hauptstein";"FDP";1960;1072
;"Heinz-Peter";"Haustein";"FDP";1954;1073
;"Sven-Gunnar";"Haverlandt";"NPD";1978;1074
;"Maria-Anna";"Hebach";"Volksabstimmung";1946;1075
;"Stefan";"Heck";"CDU";1982;1076
;"Doris";"Heer";"DIE LINKE";1949;1077
;"Lutz";"Heerwald";"MLPD";1960;1078
;"Brigitte";"Hegendörfer";"CSU";1955;1079
;"Ute";"Hegener";"GRÜNE";1955;1080
;"Reinhard";"Hegewald";"CDU";1964;1081
;"Silvio";"Heidbüchel";"DIE LINKE";1988;1082
;"Wilfried Bernd Jürgen";"Heidemann";"RRP";1939;1083
"Dr.";"Matthias";"Heider";"CDU";1966;1084
;"Helmut";"Heiderich";"CDU";1949;1085
;"Anny";"Heike";"DIE LINKE";1948;1086
;"Hubertus";"Heil";"SPD";1972;1087
;"Mechthild";"Heil";"CDU";1961;1088
;"Martin";"Heilemann";"DIE LINKE";1966;1089
;"Lutz Eberhard";"Heilmann";"DIE LINKE";1966;1090
;"Adrian";"Heim";"ödp";1964;1091
