Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei
22.09.2013;4101;;Vries de;Kees Cornelis Petrus Jozef;1955;CDU
22.09.2013;4102;;Waas;Andreas;1974;PIRATEN
22.09.2013;4103;;Wache;Jasmin;1988;FREIE WÄHLER
22.09.2013;4104;;Wacker;Detlef;1963;NPD
22.09.2013;4105;Dr. ;Wadephul;Johann David;1963;CDU
22.09.2013;4106;;Wächter;Andre Mike;1973;AfD
22.09.2013;4107;;Wächter;Karina;1990;CDU
22.09.2013;4108;;Wagener;Gerald;1961;AfD
22.09.2013;4109;;Wagener;Stefan;1971;GRÜNE
22.09.2013;4110;;Wagener;Thomas;1974;GRÜNE
22.09.2013;4111;Dr. ;Wagenknecht;Sahra;1969;DIE LINKE
22.09.2013;4112;;Wagner;Alexander;1987;SPD
22.09.2013;4113;;Wagner;Andreas;1972;DIE LINKE
22.09.2013;4114;;Wagner;Arfst;1954;GRÜNE
22.09.2013;4115;;Wagner;Daniela;1957;GRÜNE
22.09.2013;4116;;Wagner;Doris;1963;GRÜNE
22.09.2013;4117;;Wagner;Falk-Constantin;1989;SPD
22.09.2013;4118;;Wagner;Josef;1968;ÖDP
22.09.2013;4119;;Wagner;Kaiken;1956;FREIE WÄHLER
22.09.2013;4120;;Wagner;Sascha Heribert;1980;DIE LINKE
22.09.2013;4121;;Wagner;Susanne Roswitha;1953;MLPD
22.09.2013;4122;;Wahl;Reinhold;1941;REP
22.09.2013;4123;;Wahl-Schwentker;Jasmin;1967;FDP
22.09.2013;4124;;Walbe;Christian;1967;FREIE WÄHLER
22.09.2013;4125;;Walch;Alexander;1993;AfD
22.09.2013;4126;;Walde;Ingo-Peter;1945;NPD
22.09.2013;4127;;Waldheim;Silvio;1960;NPD
22.09.2013;4128;;Waldheim;Thomas;1960;DIE LINKE
22.09.2013;4129;;Waldukat;Manfred;1953;NPD
22.09.2013;4130;Dr. ;Wallenstein;Gabriele Anna;1947;MLPD
22.09.2013;4131;;Wallenstein;Klaus;1943;MLPD
22.09.2013;4132;;Wallstein;Maja Scarlett;1986;SPD
22.09.2013;4133;;Walter von;Mechthild;1939;ÖDP
22.09.2013;4134;;Walter;Anna Maria Katharina;1957;CSU
22.09.2013;4135;;Walter;Bruno;1961;DIE VIOLETTEN
22.09.2013;4136;;Walter;Helmut;1952;NPD
22.09.2013;4137;;Walter;Markus;1975;NPD
22.09.2013;4138;;Walter-Rosenheimer;Beate;1964;GRÜNE
22.09.2013;4139;;Walther;Kevin;1995;SPD
22.09.2013;4140;;Wanderwitz;Marco;1975;CDU
22.09.2013;4141;;Wandschneider;Steffen;1969;AfD
22.09.2013;4142;;Wandtke;Rolf-Rüdiger;1947;AfD
22.09.2013;4143;;Wange;Karl-Heinz Helmut;1946;CDU
22.09.2013;4144;Dr. ;Wanka;Christine;1968;ÖDP
22.09.2013;4145;Dr. ;Wanke;Stefan Michael Rainer;1967;AfD
22.09.2013;4146;;Wanke;Uwe;1962;AfD
22.09.2013;4147;;Wark;Roland;1950;AfD
22.09.2013;4148;;Warken;Nina;1979;CDU
22.09.2013;4149;;Warnecke;Uwe Marold;1963;GRÜNE
22.09.2013;4150;;Warnst;Peter;1971;pro Deutschland
22.09.2013;4151;;Warshitsky;Michael;1946;pro Deutschland
22.09.2013;4152;;Waschner;Ingo;1969;DIE LINKE
22.09.2013;4153;;Wasen van;Günther;1948;FDP
22.09.2013;4154;;Wasmund;Ralf;1962;pro Deutschland
22.09.2013;4155;;Wauer;Roman-Hartmut;1962;GRÜNE
22.09.2013;4156;;Wawzyniak;Halina;1973;DIE LINKE
22.09.2013;4157;;Weber;Adolf;1954;NPD
22.09.2013;4158;;Weber;Andrea;1977;GRÜNE
22.09.2013;4159;;Weber;Andreas;1976;FAMILIE
22.09.2013;4160;;Weber;Andreas;1980;BüSo
22.09.2013;4161;Dr. ;Weber;Michael;1969;PIRATEN
22.09.2013;4162;;Weber;Florian Christoph;1963;BP
22.09.2013;4163;;Weber;Franz;1946;ÖDP
22.09.2013;4164;;Weber;Gabi;1955;SPD
22.09.2013;4165;;Weber;Gerd Rainer;1966;PIRATEN
22.09.2013;4166;;Weber;Lorenz;1985;CDU
22.09.2013;4167;;Weber;Marco;1975;FDP
22.09.2013;4168;;Weber;Markus;1965;PIRATEN
22.09.2013;4169;;Weber;Patrick;1983;NPD
22.09.2013;4170;;Weber;Stephan Georg;1988;AfD
22.09.2013;4171;;Weber;Tim Willy;1971;PIRATEN
22.09.2013;4172;;Weber;Uwe;1964;NPD
22.09.2013;4173;;Weber;Walter Wolfgang;1967;PIRATEN
22.09.2013;4174;;Weber;Wolf-Ulrich;1984;CDU
22.09.2013;4175;;Weber;Yvonne;1977;NPD
22.09.2013;4176;;Wechsler;Michael;1971;SPD
22.09.2013;4177;;Wedemeyer;Waltraut Adele Anna;1948;FDP
22.09.2013;4178;;Weeser;Sandra;1969;FDP
22.09.2013;4179;;Wefelscheid;Stephan;1978;FREIE WÄHLER
22.09.2013;4180;;Wegener;Daniela;1974;NPD
22.09.2013;4181;;Wegener;Gunnar;1953;SPD
22.09.2013;4182;;Wegener;Rolf;1949;FREIE WÄHLER
22.09.2013;4183;;Wegner;Kai Peter;1972;CDU
22.09.2013;4184;;Wehe;Christine;1951;FREIE WÄHLER
22.09.2013;4185;;Wehnemann;Julia;1984;Die PARTEI
22.09.2013;4186;;Wehnemann;Nico;1983;Die PARTEI
22.09.2013;4187;;Wehner;Jürgen;1965;NPD
22.09.2013;4188;Dr. ;Weible;Ingrid;1947;MLPD
22.09.2013;4189;;Weichler;Dietmar Günter Waldemar;1955;FREIE WÄHLER
22.09.2013;4190;;Weide;Kerstin;1962;SPD
22.09.2013;4191;;Weidemann;Heidelind Ingeborg;1941;ÖDP
22.09.2013;4192;;Weidemann;Jörg;1968;MLPD
22.09.2013;4193;;Weidemann;Verena;1960;ÖDP
22.09.2013;4194;;Weidner;Michael;1948;MLPD
22.09.2013;4195;;Weigel;Andreas;1964;SPD
22.09.2013;4196;;Weih;Timo;1977;REP
22.09.2013;4197;;Weihrauch;Dieter Kurt Alfred;1954;MLPD
22.09.2013;4198;;Weihrauch;Oliver;1963;FREIE WÄHLER
22.09.2013;4199;;Weijers;Thomas;1981;PIRATEN
22.09.2013;4200;;Weiler;Albert Helmut;1965;CDU
22.09.2013;4201;;Weiler;Jakob Jürgen;1952;PIRATEN
22.09.2013;4202;;Weinberg;Harald;1957;DIE LINKE
22.09.2013;4203;;Weinberg;Marcus;1967;CDU
22.09.2013;4204;;Weinel;Waldemar;1956;AfD
22.09.2013;4205;;Weinert;Katharina;1982;FDP
22.09.2013;4206;;Weinmann;Martin;1964;ÖDP
22.09.2013;4207;;Weinreich;Annette;1963;GRÜNE
22.09.2013;4208;;Weintraut;Horst;1961;PIRATEN
22.09.2013;4209;;Weinzierl;Florian Roland Gerolf Erich;1985;FDP
22.09.2013;4210;;Weise;Karl Wilhelm Hubert;1956;NPD
22.09.2013;4211;;Weisenstein;Michael;1968;DIE LINKE
22.09.2013;4212;Dr. ;Weisgerber;Anja;1976;CSU
22.09.2013;4213;;Weispfenning;Peter Georg;1967;MLPD
22.09.2013;4214;;Weiß;Barbara;1981;NPD
22.09.2013;4215;;Weiß;Benjamin;1985;GRÜNE
22.09.2013;4216;;Weiß;Günter Franz;1952;REP
22.09.2013;4217;;Weiß;Hagen Erich Karl Wilhelm;1989;AfD
22.09.2013;4218;;Weiß;Paul-Gerhard;1959;FDP
22.09.2013;4219;;Weiß;Peter;1956;CDU
22.09.2013;4220;;Weiss;Rudolf;1967;AfD
22.09.2013;4221;;Weiss;Sabine Katharina;1958;CDU
22.09.2013;4222;;Weiß;Udo Gernot;1945;GRÜNE
22.09.2013;4223;;Weißbach;Marco;1976;FDP
22.09.2013;4224;;Weiße;Günther;1958;FREIE WÄHLER
22.09.2013;4225;;Weisse;Jörg;1962;FDP
22.09.2013;4226;;Weißenfels;Simon;1987;CDU
22.09.2013;4227;;Weissleder;Dirk;1969;FDP
22.09.2013;4228;;Weist;Sebastian;1980;NPD
22.09.2013;4229;;Weitz;Marc Stephan;1993;PIRATEN
22.09.2013;4230;;Welchar;Hannes;1988;NPD
22.09.2013;4231;;Wellenreuther;Ingo;1959;CDU
22.09.2013;4232;;Wellhöfer;Ernst Friedrich Karl-Heinz;1958;DIE VIOLETTEN
22.09.2013;4233;;Welling;Torsten;1985;CDU
22.09.2013;4234;;Wellmann;Karl-Georg Ernst Gottlob;1952;CDU
22.09.2013;4235;Dr. ;Wenck;Helmut Adolph Wilhelm;1935;CDU
22.09.2013;4236;;Wenderoth;Gerhard;1969;FREIE WÄHLER
22.09.2013;4237;;Wendland;Lars;1973;SPD
22.09.2013;4238;;Wendler;Christiane;1977;GRÜNE
22.09.2013;4239;;Wendt;Hans-Peter;1944;AfD
22.09.2013;4240;;Wendt;Marian;1985;CDU
22.09.2013;4241;;Wendt;Peter Frank;1950;AfD
22.09.2013;4242;;Wendt;Robert;1986;GRÜNE
22.09.2013;4243;;Wendt-Kleinberg;Walter;1948;DIE LINKE
22.09.2013;4244;;Wengle;Brigitte Sophie;1949;REP
22.09.2013;4245;;Wengle;Hammo Wolfgang;1946;REP
22.09.2013;4246;;Wennemann;Klaus-Peter;1957;FDP
22.09.2013;4247;;Wensiersky von;Heinz Georg;1951;DIE LINKE
22.09.2013;4248;;Wenzel;Birgit;1967;PIRATEN
22.09.2013;4249;;Wenzel;Eric;1974;FREIE WÄHLER
22.09.2013;4250;;Wenzelis;Ilka Daniela;1978;DIE LINKE
22.09.2013;4251;;Werlberger;Renate;1955;NPD
22.09.2013;4252;;Werner;Britta;1966;PIRATEN
22.09.2013;4253;;Werner;Karsten;1984;BüSo
22.09.2013;4254;;Werner;Katrin;1973;DIE LINKE
22.09.2013;4255;;Werner;Liss;1974;Die PARTEI
22.09.2013;4256;;Werner;Martina;1969;Die PARTEI
22.09.2013;4257;;Werner;Stefan;1980;pro Deutschland
22.09.2013;4258;;Werner;Tim Christian;1972;Die PARTEI
22.09.2013;4259;;Wernicke;Rainer Kurt;1962;GRÜNE
22.09.2013;4260;Dr. ;Werwigk;Matthias;1951;FDP
22.09.2013;4261;;Wesche;Elke;1948;SPD
22.09.2013;4262;;Wesener;Gudrun;1959;MLPD
22.09.2013;4263;;Wesener;Tom;1993;FDP
22.09.2013;4264;;Westarp Graf von;Gustav Wolf Viktor Asche;1948;FREIE WÄHLER
22.09.2013;4265;;Wester;Horst Peter;1964;Tierschutzpartei
22.09.2013;4266;;Wester;Sagitta Barbara;1982;MLPD
22.09.2013;4267;;Westermann;Ingo;1964;FDP
22.09.2013;4268;;Westermayer;Waldemar;1953;CDU
22.09.2013;4269;Dr. ;Westerwelle;Guido;1961;FDP
22.09.2013;4270;;Westphal;Bernd;1960;SPD
22.09.2013;4271;Dr. ;Wett;Norbert;1964;CDU
22.09.2013;4272;Dr. ;Wetzel;Hans-Peter;1950;FDP
22.09.2013;4273;;Wetzel;Sabine;1964;GRÜNE
22.09.2013;4274;;Wetzel;Sarah;1986;GRÜNE
22.09.2013;4275;;Wever;Melanie;1967;AfD
22.09.2013;4276;;Weyerich;Mathias;1987;NPD
22.09.2013;4277;;Whittaker;Kai;1985;CDU
22.09.2013;4278;;Wibbeke;Martin;1989;NPD
22.09.2013;4279;;Wichtel;Heinz Peter;1949;CDU
22.09.2013;4280;;Wickert;Martin Arnim Friedel;1981;Die PARTEI
22.09.2013;4281;;Wicklein;Andrea Meta;1958;SPD
22.09.2013;4282;;Widmann-Mauz;Annette;1966;CDU
22.09.2013;4283;;Wiechmann;Steffen;1976;
22.09.2013;4284;;Wiegand;Wolf Achim;1954;FREIE WÄHLER
22.09.2013;4285;;Wiegenstein;Daniel Alexander;1958;MLPD
22.09.2013;4286;;Wieland-Bräutigam;Angela;1969;FREIE WÄHLER
22.09.2013;4287;;Wiemer;Eva Margarete;1954;DIE LINKE
22.09.2013;4288;;Wiemer;Tim;1992;AfD
22.09.2013;4289;;Wiertz;Sven;1975;SPD
22.09.2013;4290;;Wieschke;Patrick David;1981;NPD
22.09.2013;4291;;Wieschollek;Fabian;1994;Die PARTEI
22.09.2013;4292;;Wiese;Dirk;1983;SPD
22.09.2013;4293;;Wiese;Franz Josef;1952;AfD
22.09.2013;4294;;Wiese;Heinz;1945;CDU
22.09.2013;4295;;Wiesemann-Käfer;Ulla;1959;SPD
22.09.2013;4296;;Wiesendahl;Sebastian;1988;PIRATEN
22.09.2013;4297;;Wiest;Claudia;1967;ÖDP
22.09.2013;4298;;Wiest;Susanne;1967;PIRATEN
22.09.2013;4299;;Wiethüchter;Volker;1964;AfD
22.09.2013;4300;Dr. ;Wiggershaus;Norbert;1939;CDU
22.09.2013;4301;Dr. ;Wilde;Frank-Eberhard;1937;ÖDP
22.09.2013;4302;;Wildenauer;Benjamin Raimund;1985;PIRATEN
22.09.2013;4303;;Wilhelm;Jens Simon;1991;NPD
22.09.2013;4304;;Wilke;Otto;1937;FDP
22.09.2013;4305;;Wille;Albert;1954;NPD
22.09.2013;4306;;Wille;Roswitha;1958;RENTNER
22.09.2013;4307;;Willke;Carl Theo Antonin;1988;Die PARTEI
22.09.2013;4308;;Willsch;Klaus-Peter;1961;CDU
22.09.2013;4309;Dr. ;Wilms;Valerie;1954;GRÜNE
22.09.2013;4310;;Wilzius;Pascal;1981;NPD
22.09.2013;4311;;Windisch;Heiko;1969;PIRATEN
22.09.2013;4312;;Wingert;Justus;1988;FREIE WÄHLER
22.09.2013;4313;;Winhard;Claus Manfred;1966;AfD
22.09.2013;4314;;Wink;Steven;1984;FDP
22.09.2013;4315;;Winkelmann;Hans Peter;1964;PIRATEN
22.09.2013;4316;;Winkelmeier-Becker;Elisabeth;1962;CDU
22.09.2013;4317;Dr. ;Winkemann;Birgit;1964;AfD
22.09.2013;4318;;Winkler;Beatrice Cornelia;1970;Die PARTEI
